NUPATRIM    NUPROJ    DTMOVI      FLMOV    USUARIO                            DTOPERACAO    
29158       197       05/08/2025    I        BEA.SC                             05/08/2025    
36066       888       05/08/2025    I        BEA.SC                             05/08/2025    
36238       736       05/08/2025    I        BEA.SC                             05/08/2025    
36238       736       05/08/2025    I        BEA.SC                             05/08/2025    
36238       736       05/08/2025    I        BEA.SC                             05/08/2025    
13996       888       05/08/2025    I        BEA.SC                             05/08/2025    
13970       773       05/08/2025    I        BEA.SC                             05/08/2025    
13970       773       05/08/2025    I        BEA.SC                             05/08/2025    
19562       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13989       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13989       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13985       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13987       999915    07/08/2025    I        TIAGOP                             07/08/2025    
13915       999915    08/08/2025    I        TIAGOP                             08/08/2025    
13915       999915    08/08/2025    I        TIAGOP                             08/08/2025    
13932       999915    08/08/2025    I        TIAGOP                             08/08/2025    
8634        999915    08/08/2025    I        TIAGOP                             08/08/2025    
8625        999915    08/08/2025    I        TIAGOP                             08/08/2025    
15918       999915    08/08/2025    I        TIAGOP                             08/08/2025    
15919       999915    08/08/2025    I        TIAGOP                             08/08/2025    
15916       999915    08/08/2025    I        TIAGOP                             08/08/2025    
15913       999915    08/08/2025    I        TIAGOP                             08/08/2025    
15915       999915    08/08/2025    I        TIAGOP                             08/08/2025    
15917       999915    08/08/2025    I        TIAGOP                             08/08/2025    
15920       999915    08/08/2025    I        TIAGOP                             08/08/2025    
17654       999915    08/08/2025    I        TIAGOP                             08/08/2025    
17651       999915    08/08/2025    I        TIAGOP                             08/08/2025    
17660       999915    08/08/2025    I        TIAGOP                             08/08/2025    
6586        999915    08/08/2025    I        TIAGOP                             08/08/2025    
6589        999915    08/08/2025    I        TIAGOP                             08/08/2025    
17642       999915    08/08/2025    I        TIAGOP                             08/08/2025    
17652       999915    08/08/2025    I        TIAGOP                             08/08/2025    
17656       999915    08/08/2025    I        TIAGOP                             08/08/2025    
17662       999915    08/08/2025    I        TIAGOP                             08/08/2025    
22408       8         08/08/2025    I        BEA.SC                             08/08/2025    
7565        545       11/08/2025    I        BEA.SC                             11/08/2025    
36070       888       11/08/2025    I        BEA.SC                             11/08/2025    
19455       379       11/08/2025    I        BEA.SC                             11/08/2025    
36198       999915    11/08/2025    I        TIAGOP                             11/08/2025    
36037       610       11/08/2025    I        BEA.SC                             11/08/2025    
36038       610       11/08/2025    I        BEA.SC                             11/08/2025    
36036       610       11/08/2025    I        BEA.SC                             11/08/2025    
29194       610       11/08/2025    I        BEA.SC                             11/08/2025    
29345       610       12/08/2025    I        BEA.SC                             12/08/2025    
36575       610       12/08/2025    I        BEA.SC                             12/08/2025    
36038       610       12/08/2025    I        BEA.SC                             12/08/2025    
36037       610       12/08/2025    I        BEA.SC                             12/08/2025    
36018       610       12/08/2025    I        BEA.SC                             12/08/2025    
36019       610       12/08/2025    I        BEA.SC                             12/08/2025    
29081       610       12/08/2025    I        BEA.SC                             12/08/2025    
36035       610       12/08/2025    I        BEA.SC                             12/08/2025    
36025       610       12/08/2025    I        BEA.SC                             12/08/2025    
36026       610       12/08/2025    I        BEA.SC                             12/08/2025    
36024       610       12/08/2025    I        BEA.SC                             12/08/2025    
36027       610       12/08/2025    I        BEA.SC                             12/08/2025    
36023       610       12/08/2025    I        BEA.SC                             12/08/2025    
36022       610       12/08/2025    I        BEA.SC                             12/08/2025    
36036       610       12/08/2025    I        BEA.SC                             12/08/2025    
36021       610       12/08/2025    I        BEA.SC                             12/08/2025    
36020       610       12/08/2025    I        BEA.SC                             12/08/2025    
29194       610       12/08/2025    I        BEA.SC                             12/08/2025    
36691       610       12/08/2025    I        BEA.SC                             12/08/2025    
36679       610       12/08/2025    I        BEA.SC                             12/08/2025    
36699       610       12/08/2025    I        BEA.SC                             12/08/2025    
36669       610       12/08/2025    I        BEA.SC                             12/08/2025    
36670       610       12/08/2025    I        BEA.SC                             12/08/2025    
36671       610       12/08/2025    I        BEA.SC                             12/08/2025    
28151       610       12/08/2025    I        BEA.SC                             12/08/2025    
32440       610       12/08/2025    I        BEA.SC                             12/08/2025    
28152       610       12/08/2025    I        BEA.SC                             12/08/2025    
32443       610       12/08/2025    I        BEA.SC                             12/08/2025    
36700       610       12/08/2025    I        BEA.SC                             12/08/2025    
36688       610       12/08/2025    I        BEA.SC                             12/08/2025    
29002       610       12/08/2025    I        BEA.SC                             12/08/2025    
36676       610       12/08/2025    I        BEA.SC                             12/08/2025    
32408       610       12/08/2025    I        BEA.SC                             12/08/2025    
32408       610       12/08/2025    I        BEA.SC                             12/08/2025    
36687       610       12/08/2025    I        BEA.SC                             12/08/2025    
36690       610       12/08/2025    I        BEA.SC                             12/08/2025    
36680       610       12/08/2025    I        BEA.SC                             12/08/2025    
36686       610       12/08/2025    I        BEA.SC                             12/08/2025    
