NUPATRIMONIO,DTAQUISICAO
360,2011-12-11
361,2011-12-11
362,2011-12-11
363,2011-12-11
364,2011-12-11
365,2011-12-11
366,2011-12-11
367,2011-12-11
368,2011-12-11
369,2011-12-11
370,2011-12-11
371,2011-12-11
372,2011-12-11
373,2011-12-11
374,2011-12-11
375,2011-12-11
376,2011-12-11
377,2011-12-11
378,2011-12-11
379,2011-12-11
380,2011-12-11
381,2011-12-11
382,2011-12-11
383,2011-12-11
384,2011-12-11
385,2011-12-11
386,2011-12-11
387,2011-12-11
388,2011-12-11
389,2011-12-11
390,2011-12-11
391,2011-12-11
392,2011-12-11
393,2011-12-11
394,2011-12-11
395,2011-12-11
396,2011-12-11
397,2011-12-11
398,2011-12-11
399,2011-12-11
400,2011-12-11
401,2011-12-11
402,2011-12-11
403,2011-12-11
404,2011-12-11
405,2011-12-11
406,2011-12-11
407,2011-12-11
408,2011-12-11
409,2011-12-11
410,2011-12-11
411,2011-12-11
412,2011-12-11
413,2011-12-11
414,2011-12-11
415,2011-12-11
416,2011-12-11
417,2011-12-11
418,2011-12-11
419,2011-12-11
420,2011-12-11
421,2011-12-11
422,2011-12-11
423,2011-12-11
424,2011-12-11
425,2011-12-11
426,2011-12-11
427,2011-12-11
428,2011-12-11
429,2011-12-11
430,2011-12-11
431,2011-12-11
432,2011-12-11
433,2011-12-11
434,2011-12-11
438,2011-12-11
439,2011-12-11
440,2011-12-11
441,2011-12-11
442,2011-12-11
443,2011-12-11
444,2011-12-11
445,2011-12-11
446,2011-12-11
447,2011-12-11
448,2011-12-11
449,2011-12-11
450,2011-12-11
451,2011-12-11
452,2011-12-11
453,2011-12-11
454,2011-12-11
455,2011-12-11
456,2011-12-11
457,2011-12-11
458,2011-12-11
459,2011-12-11
460,2011-12-11
461,2011-12-11
462,2011-12-11
463,2011-12-11
464,2011-12-11
465,2011-12-11
466,2011-12-11
467,2011-12-11
468,2011-12-11
469,2011-12-11
470,2011-12-11
471,2011-12-11
472,2011-12-11
473,2011-12-11
474,2011-12-11
475,2011-12-11
476,2011-12-11
477,2011-12-11
478,2011-12-11
479,2011-12-11
480,2011-12-11
481,2011-12-11
482,2011-12-11
483,2011-12-11
484,2011-12-11
485,2011-12-11
486,2011-12-11
487,2011-12-11
488,2011-12-11
489,2011-12-11
490,2011-12-11
491,2011-12-11
492,2011-12-11
493,2011-12-11
494,2011-12-11
495,2011-12-11
496,2011-12-11
497,2011-12-11
498,2011-12-11
499,2011-12-11
500,2011-12-11
501,2011-12-11
502,2011-12-11
503,2011-12-11
504,2011-12-11
505,2011-12-11
506,2011-12-11
507,2011-12-11
508,2011-12-11
509,2011-12-11
510,2011-12-11
511,2011-12-11
512,2011-12-11
513,2011-12-11
514,2011-12-11
515,2011-12-11
516,2011-12-11
517,2011-12-11
518,2011-12-11
519,2011-12-11
520,2011-12-11
521,2011-12-11
522,2011-12-11
523,2011-12-11
524,2011-12-11
525,2011-12-11
526,2011-12-11
527,2011-12-11
528,2011-12-11
529,2011-12-11
530,2011-12-11
531,2011-12-11
532,2011-12-11
533,2011-12-11
534,2011-12-11
535,2011-12-11
536,2011-12-11
537,2011-12-11
538,2011-12-11
539,2011-12-11
540,2011-12-11
541,2011-12-11
542,2011-12-11
543,2011-12-11
544,2011-12-11
545,2011-12-11
546,2011-12-11
547,2011-12-11
548,2011-12-11
549,2011-12-11
550,2011-12-11
551,2011-12-11
552,2011-12-11
553,2011-12-11
554,2011-12-11
555,2011-12-11
556,2011-12-11
557,2011-12-11
558,2011-12-11
559,2011-12-11
560,2011-12-11
561,2011-12-11
562,2011-12-11
563,2011-12-11
564,2011-12-11
565,2011-12-11
566,2011-12-11
567,2011-12-11
568,2011-12-11
569,2011-12-11
570,2011-12-11
571,2011-12-11
572,2011-12-11
573,2011-12-11
574,2011-12-11
575,2011-12-11
576,2011-12-11
577,2011-12-11
578,2011-12-11
579,2011-12-11
580,2011-12-11
581,2011-12-11
582,2011-12-11
583,2011-12-11
584,2011-12-11
585,2011-12-11
586,2011-12-11
587,2011-12-11
588,2011-12-11
589,2011-12-11
590,2011-12-11
591,2011-12-11
592,2011-12-11
593,2011-12-11
594,2011-12-11
595,2011-12-11
596,2011-12-11
597,2011-12-11
598,2011-12-11
599,2011-12-11
600,2011-12-11
601,2011-12-11
602,2011-12-11
603,2011-12-11
604,2011-12-11
605,2011-12-11
607,2011-12-11
608,2011-12-11
609,2011-12-11
610,2011-12-11
611,2011-12-11
612,2011-12-11
613,2011-12-11
614,2011-12-11
615,2011-12-11
616,2011-12-11
617,2011-12-11
618,2011-12-11
619,2011-12-11
620,2011-12-11
621,2011-12-11
622,2011-12-11
624,2010-05-10
625,2010-05-10
626,2010-05-10
627,2010-05-10
628,2010-05-10
631,2011-12-11
632,2011-12-11
633,2011-12-11
634,2011-12-11
635,2011-12-11
636,2011-12-11
637,2011-12-11
