NUPATRIMONIO,DTAQUISICAO
10662,2011-12-11
10663,2011-12-11
10664,2011-12-11
10665,2011-12-11
10666,2011-12-11
10667,2011-12-11
10669,2011-12-11
10670,2011-12-11
10672,2011-12-11
10673,2011-12-11
10674,2011-12-11
10675,2011-12-11
10676,2011-12-11
10677,2011-12-11
10679,2011-12-11
10681,2011-12-11
10683,2011-12-11
10684,2011-12-11
10687,2011-12-11
10689,2011-12-11
10690,2011-12-11
10691,2011-12-11
10692,2011-12-11
10693,2011-12-11
10694,2011-12-11
10695,2011-12-11
10696,2011-12-11
10697,2011-12-11
10698,2011-12-11
10701,2011-12-11
10702,2011-12-11
10703,2011-12-11
10704,2011-12-11
10705,2011-12-11
10706,2011-12-11
10708,2011-12-11
10709,2011-12-11
10710,2011-12-11
10712,2011-12-11
10714,2011-12-11
10717,2011-12-11
10718,2011-12-11
10719,2011-12-11
10720,2011-12-11
10721,2011-12-11
10722,2011-12-11
10723,2011-12-11
10724,2011-12-11
10725,2011-12-11
10726,2011-12-11
10727,2011-12-11
10729,2011-12-11
10730,2011-12-11
10731,2011-12-11
10732,2011-12-11
10733,2011-12-11
10735,2011-12-11
10736,2011-12-11
10737,2011-12-11
10738,2011-12-11
10739,2011-12-11
10740,2011-12-11
10741,2011-12-11
10744,2011-12-11
10745,2011-12-11
10746,2011-12-11
10747,2011-12-11
10748,2011-12-11
10749,2011-12-11
10750,2011-12-11
10751,2011-12-11
10752,2011-12-11
10753,2011-12-11
10755,2011-12-11
10758,2011-12-11
10759,2011-12-11
10760,2011-12-11
10761,2011-12-11
10763,2011-12-11
10764,2011-12-11
10765,2011-12-11
10766,2011-12-11
10767,2011-12-11
10768,2011-12-11
10769,2011-12-11
10770,2011-12-11
10771,2011-12-11
10772,2011-12-11
10773,2011-12-11
10774,2011-12-11
10776,2011-12-11
10777,2011-12-11
10778,2011-12-11
10779,2011-12-11
10780,2011-12-11
10783,2011-12-11
10784,2011-12-11
10786,2011-12-11
10787,2011-12-11
10789,2011-12-11
10790,2011-12-11
10791,2011-12-11
10792,2011-12-11
10793,2011-12-11
10794,2011-12-11
10796,2011-12-11
10797,2011-12-11
10798,2011-12-11
10799,2011-12-11
10800,2011-12-11
10801,2011-12-11
10802,2011-12-11
10803,2011-12-11
10804,2011-12-11
10805,2011-12-11
10807,2011-12-11
10808,2011-12-11
10809,2011-12-11
10810,2011-12-11
11054,2011-12-11
11055,2011-12-11
11056,2011-12-11
11057,2011-12-11
11060,2011-12-11
11061,2011-12-11
11062,2011-12-11
11064,2011-12-11
11065,2011-12-11
11066,2011-12-11
11067,2011-12-11
11068,2011-12-11
11070,2011-12-11
11072,2011-12-11
11073,2011-12-11
11074,2011-12-11
11079,2011-12-11
11081,2011-12-11
11082,2011-12-11
11089,2011-12-11
11090,2011-12-11
11091,2011-12-11
11092,2011-12-11
11093,2011-12-11
11094,2011-12-11
11095,2011-12-11
11096,2011-12-11
11098,2011-12-11
11101,2011-12-11
11103,2011-12-11
11106,2011-12-11
11107,2011-12-11
11109,2011-12-11
11111,2011-12-11
11112,2011-12-11
11113,2011-12-11
11114,2011-12-11
11115,2011-12-11
11116,2011-12-11
11117,2011-12-11
11118,2011-12-11
11126,2011-12-11
11127,2011-12-11
11128,2011-12-11
11129,2011-12-11
11130,2011-12-11
11135,2011-12-11
11137,2011-12-11
11138,2011-12-11
11151,2011-12-11
11159,2011-12-11
11163,2011-12-11
11172,2011-12-11
11173,2011-12-11
11174,2011-12-11
11185,2011-12-11
11196,2011-12-11
11223,2011-12-11
11231,2011-12-11
11233,2011-12-11
11235,2011-12-11
11237,2011-12-11
11239,2011-12-11
11241,2011-12-11
11297,2011-12-11
11300,2011-12-11
11305,2011-12-11
11311,2011-12-11
11318,2011-12-11
11324,2011-12-11
11329,2011-12-11
11332,2011-12-11
11339,2011-12-11
11343,2011-12-11
11353,2011-12-11
11358,2011-12-11
11365,2011-12-11
11370,2011-12-11
11377,2011-12-11
11379,2011-12-11
11382,2011-12-11
11384,2011-12-11
11411,2011-12-11
11412,2011-12-11
11413,2011-12-11
11414,2011-12-11
11415,2011-12-11
11418,2011-12-11
11419,2011-12-11
11420,2011-12-11
11421,2011-12-11
11422,2011-12-11
11423,2011-12-11
11424,2011-12-11
11425,2011-12-11
11427,2011-12-11
11429,2011-12-11
11431,2011-12-11
11434,2011-12-11
11437,2011-12-11
11439,2011-12-11
11441,2011-12-11
11443,2011-12-11
11445,2011-12-11
11447,2011-12-11
11449,2011-12-11
11451,2011-12-11
11452,2011-12-11
11457,2011-12-11
11460,2011-12-11
11463,2011-12-11
11464,2011-12-11
11465,2011-12-11
11469,2011-12-11
11470,2011-12-11
11471,2011-12-11
11472,2011-12-11
11474,2011-12-11
11477,2011-12-11
11483,2011-12-11
11485,2011-12-11
11486,2011-12-11
11487,2011-12-11
11488,2011-12-11
11489,2011-12-11
11490,2011-12-11
11491,2011-12-11
11492,2011-12-11
11494,2011-12-11
11495,2011-12-11
11496,2011-12-11
11497,2011-12-11
11498,2011-12-11
11500,2011-12-11
11501,2011-12-11
11505,2011-12-11
11508,2011-12-11
11511,2011-12-11
11768,2011-12-11
11785,2011-12-11
11786,2011-12-11
11787,2011-12-11
11790,2011-12-11
11792,2011-12-11
11796,2011-12-11
11798,2011-12-11
11803,2011-12-11
11804,2011-12-11
11805,2011-12-11
11806,2011-12-11
11807,2011-12-11
11808,2011-12-11
11809,2011-12-11
11810,2011-12-11
11812,2011-12-11
11817,2011-12-11
11818,2011-12-11
11819,2011-12-11
11820,2023-09-05
11821,2011-12-11
11822,2023-09-05
11823,2011-12-11
11825,2011-12-11
11826,2011-12-11
11827,2011-12-11
11828,2011-12-11
11829,2011-12-11
11831,2011-12-11
11834,2011-12-11
11835,2011-12-11
11837,2011-12-11
11838,2011-12-11
11840,2011-12-11
11841,2011-12-11
11842,2011-12-11
11843,2011-12-11
11844,2011-12-11
11845,2011-12-11
11848,2011-12-11
11850,2011-12-11
11851,2011-12-11
11852,2011-12-11
11853,2011-12-11
11855,2011-12-11
11857,2011-12-11
11860,2011-12-11
11861,2011-12-11
11863,2011-12-11
11864,2011-12-11
11865,2011-12-11
11868,2011-12-11
11869,2011-12-11
11870,2011-12-11
11872,2011-12-11
11875,2011-12-11
11876,2011-12-11
11877,2011-12-11
11879,2011-12-11
11880,2011-12-11
11881,2011-12-11
11882,2011-12-11
11883,2011-12-11
11884,2011-12-11
11885,2011-12-11
11886,2011-12-11
11887,2011-12-11
11890,2011-12-11
11895,2011-12-11
11900,2011-12-11
11901,2011-12-11
11904,2011-12-11
11905,2011-12-11
11906,2011-12-11
11907,2011-12-11
11908,2011-12-11
11909,2011-12-11
11912,2011-12-11
11913,2011-12-11
11915,2011-12-11
11917,2011-12-11
11918,2011-12-11
11920,2011-12-11
11921,2011-12-11
11922,2011-12-11
11925,2011-12-11
11926,2011-12-11
11927,2011-12-11
11928,2011-12-11
11929,2011-12-11
11930,2011-12-11
11931,2011-12-11
11932,2011-12-11
11933,2011-12-11
11934,2011-12-11
11935,2011-12-11
11937,2011-12-11
11938,2011-12-11
11939,2011-12-11
11940,2011-12-11
11941,2011-12-11
11942,2011-12-11
11943,2011-12-11
11945,2011-12-11
11946,2011-12-11
11947,2011-12-11
11948,2011-12-11
11949,2011-12-11
11950,2011-12-11
11951,2011-12-11
11952,2011-12-11
11953,2011-12-11
11954,2011-12-11
11955,2011-12-11
11958,2011-12-11
11959,2011-12-11
11960,2011-12-11
11961,2011-12-11
11963,2011-12-11
11964,2011-12-11
11966,2011-12-11
11967,2011-12-11
11968,2011-12-11
11969,2011-12-11
11970,2011-12-11
11971,2011-12-11
11972,2011-12-11
11973,2011-12-11
11974,2011-12-11
11975,2011-12-11
11976,2011-12-11
11977,2011-12-11
11978,2011-12-11
11979,2011-12-11
11980,2011-12-11
11981,2011-12-11
11982,2011-12-11
11983,2011-12-11
11984,2011-12-11
11985,2011-12-11
11986,2011-12-11
11987,2011-12-11
11988,2011-12-11
11989,2011-12-11
11990,2011-12-11
11991,2011-12-11
11992,2011-12-11
11993,2011-12-11
11994,2011-12-11
11995,2011-12-11
11997,2011-12-11
11998,2011-12-11
11999,2011-12-11
12000,2011-12-11
12001,2011-12-11
12002,2011-12-11
12003,2011-12-11
12004,2011-12-11
12005,2011-12-11
12006,2011-12-11
12007,2011-12-11
12008,2011-12-11
12009,2011-12-11
12010,2011-12-11
12011,2011-12-11
12012,2011-12-11
12013,2011-12-11
12014,2011-12-11
12015,2011-12-11
12016,2011-12-11
12017,2011-12-11
12018,2011-12-11
12019,2011-12-11
12020,2011-12-11
12021,2011-12-11
12022,2011-12-11
12023,2011-12-11
12025,2011-12-11
12026,2011-12-11
12027,2011-12-11
12028,2011-12-11
12029,2011-12-11
12030,2011-12-11
12031,2011-12-11
12032,2011-12-11
12033,2011-12-11
12035,2011-12-11
12036,2011-12-11
12038,2011-12-11
12039,2011-12-11
12040,2011-12-11
12042,2011-12-11
12044,2011-12-11
12045,2011-12-11
12046,2011-12-11
12047,2011-12-11
12051,2011-12-11
12052,2011-12-11
12054,2011-12-11
12055,2011-12-11
12056,2011-12-11
12057,2011-12-11
12058,2011-12-11
12059,2011-12-11
12060,2011-12-11
12061,2011-12-11
12062,2011-12-11
12063,2011-12-11
12064,2011-12-11
12066,2011-12-11
12068,2011-12-11
12069,2011-12-11
12070,2011-12-11
12071,2011-12-11
12072,2011-12-11
12074,2011-12-11
12075,2011-12-11
12076,2011-12-11
12077,2011-12-11
12079,2011-12-11
12080,2011-12-11
12081,2011-12-11
12082,2011-12-11
12083,2011-12-11
12084,2011-12-11
12085,2011-12-11
12086,2011-12-11
12087,2011-12-11
12088,2011-12-11
12089,2011-12-11
12090,2011-12-11
12091,2011-12-11
12092,2011-12-11
12093,2011-12-11
12094,2011-12-11
12095,2011-12-11
12096,2011-12-11
12097,2011-12-11
12098,2011-12-11
12099,2011-12-11
12101,2011-12-11
12103,2011-12-11
12105,2011-12-11
12106,2011-12-11
12121,2011-12-11
12123,2011-12-11
12130,2011-12-11
12146,2011-12-11
12150,2011-12-11
12153,2011-12-11
12154,2011-12-11
12162,2011-12-11
12163,2011-12-11
12167,2011-12-11
12170,2011-12-11
12171,2011-12-11
12178,2011-12-11
12179,2011-12-11
12180,2011-12-11
12182,2011-12-11
12184,2011-12-11
12185,2011-12-11
12186,2011-12-11
12187,2011-12-11
12188,2011-12-11
12191,2011-12-11
12192,2011-12-11
12193,2011-12-11
12194,2011-12-11
12200,2011-12-11
12201,2011-12-11
12202,2011-12-11
12205,2011-12-11
12206,2011-12-11
12207,2011-12-11
12208,2011-12-11
12209,2011-12-11
12210,2011-12-11
12218,2011-12-11
12219,2011-12-11
12220,2011-12-11
12234,2011-12-11
12356,2011-12-11
12357,2011-12-11
12358,2011-12-11
12359,2011-12-11
12360,2011-12-11
12361,2011-12-11
12362,2011-12-11
12363,2011-12-11
12364,2011-12-11
12365,2011-12-11
12366,2011-12-11
12367,2011-12-11
12368,2011-12-11
12369,2011-12-11
12370,2011-12-11
12371,2011-12-11
12372,2011-12-11
12373,2011-12-11
12374,2011-12-11
12375,2011-12-11
12376,2011-12-11
12377,2011-12-11
12379,2011-12-11
12380,2011-12-11
12381,2011-12-11
12382,2011-12-11
12383,2011-12-11
12384,2011-12-11
12385,2011-12-11
12386,2011-12-11
12387,2011-12-11
12388,2011-12-11
12389,2011-12-11
12390,2011-12-11
12391,2011-12-11
12392,2011-12-11
12393,2011-12-11
12394,2011-12-11
12395,2011-12-11
12396,2011-12-11
12397,2011-12-11
12398,2011-12-11
12399,2011-12-11
12400,2011-12-11
12401,2011-12-11
12402,2011-12-11
12403,2011-12-11
12404,2011-12-11
12405,2011-12-11
12406,2011-12-11
12407,2011-12-11
12408,2011-12-11
12409,2011-12-11
12410,2011-12-11
12411,2011-12-11
12412,2011-12-11
12413,2011-12-11
12414,2011-12-11
12415,2011-12-11
12416,2011-12-11
12417,2011-12-11
12418,2011-12-11
12419,2011-12-11
12420,2011-12-11
12421,2011-12-11
12422,2011-12-11
12423,2011-12-11
12424,2011-12-11
12425,2011-12-11
12426,2011-12-11
12427,2011-12-11
12428,2011-12-11
12429,2011-12-11
12430,2011-12-11
12431,2011-12-11
12432,2011-12-11
12433,2011-12-11
12434,2011-12-11
12435,2011-12-11
12436,2011-12-11
12437,2011-12-11
12438,2011-12-11
12439,2011-12-11
12440,2011-12-11
12441,2011-12-11
12442,2011-12-11
12443,2011-12-11
12444,2011-12-11
12445,2011-12-11
12446,2011-12-11
12447,2011-12-11
12448,2011-12-11
12449,2011-12-11
12450,2011-12-11
12451,2011-12-11
12452,2011-12-11
12453,2011-12-11
12454,2011-12-11
12455,2011-12-11
12456,2011-12-11
12458,2011-12-11
12460,2011-12-11
12461,2011-12-11
12466,2011-12-11
12468,2011-12-11
12470,2011-12-11
12475,2011-12-11
12476,2011-12-11
12477,2011-12-11
12478,2011-12-11
12480,2011-12-11
12482,2011-12-11
12483,2011-12-11
12484,2011-12-11
12490,2011-12-11
12492,2011-12-11
12494,2011-12-11
12496,2011-12-11
12499,2011-12-11
12500,2011-12-11
12506,2011-12-11
12507,2011-12-11
12508,2011-12-11
12509,2011-12-11
12510,2011-12-11
12511,2011-12-11
12517,2011-12-11
12519,2011-12-11
12521,2011-12-11
12522,2011-12-11
12523,2011-12-11
12524,2011-12-11
12529,2011-12-11
12530,2011-12-11
12531,2011-12-11
12533,2011-12-11
12535,2011-12-11
12536,2011-12-11
12637,2011-12-11
12644,2011-12-11
12647,2011-12-11
12648,2011-12-11
12649,2011-12-11
12650,2011-12-11
12651,2011-12-11
12654,2011-12-11
12691,2011-12-11
12729,2011-12-11
12730,2011-12-11
12731,2011-12-11
12732,2011-12-11
12733,2011-12-11
12734,2011-12-11
12822,2024-08-02
12824,2024-08-22
12825,2024-08-22
12826,2024-08-22
12851,2011-12-11
12855,2011-12-11
12856,2011-12-11
12857,2011-12-11
12858,2011-12-11
12860,2011-12-11
12861,2011-12-11
12862,2025-01-22
12863,2025-01-22
12864,2025-01-22
13053,2025-01-21
13054,2025-01-21
13055,2025-01-21
13056,2025-01-21
13061,2025-01-21
13062,2025-01-21
13063,2025-01-21
13064,2011-12-11
13065,2025-01-21
13066,2025-01-21
13067,2011-12-11
13068,2025-01-21
13070,2025-03-13
13072,2025-03-13
13074,2025-03-13
13075,2025-03-13
13076,2025-03-13
13077,2025-03-13
13081,2011-12-11
13082,2011-12-11
13083,2011-12-11
13125,2025-02-25
13126,2011-12-11
13129,2025-02-25
13133,2011-12-11
13160,2011-12-11
13161,2011-12-11
13162,2011-12-11
13163,2011-12-11
13164,2011-12-11
13165,2011-12-11
13166,2011-12-11
13167,2011-12-11
13168,2011-12-11
13169,2011-12-11
13170,2011-12-11
13177,2024-05-27
13178,2011-12-11
13179,2011-12-11
13180,2011-12-11
13181,2011-12-11
13182,2024-06-05
13216,2024-07-01
13217,2024-07-01
13218,2024-07-17
13219,2024-07-17
13220,2024-07-17
13221,2024-07-17
13222,2024-07-01
13223,2024-07-01
13225,2011-12-11
13230,2011-12-11
13232,2011-12-11
13243,2011-12-11
13245,2011-12-11
13247,2011-12-11
13253,2011-12-11
13265,2025-10-27
13266,2011-12-11
13268,2011-12-11
13272,2011-12-11
13300,2025-01-21
13301,2025-01-21
13371,2011-12-11
13374,2011-12-11
13529,2011-12-11
13530,2011-12-11
13531,2011-12-11
13532,2011-12-11
13533,2011-12-11
13534,2011-12-11
13535,2011-12-11
13536,2011-12-11
13537,2011-12-11
13538,2011-12-11
13539,2011-12-11
13540,2011-12-11
13541,2011-12-11
13542,2011-12-11
13543,2011-12-11
13544,2011-12-11
13545,2011-12-11
13546,2011-12-11
13547,2011-12-11
13548,2011-12-11
13549,2011-12-11
13550,2011-12-11
13551,2011-12-11
13552,2011-12-11
13553,2011-12-11
13554,2011-12-11
13555,2011-12-11
13556,2011-12-11
13557,2011-12-11
13558,2011-12-11
13559,2011-12-11
13560,2011-12-11
13561,2011-12-11
13562,2011-12-11
13563,2011-12-11
13564,2011-12-11
13565,2011-12-11
13566,2011-12-11
13567,2011-12-11
13568,2011-12-11
13569,2011-12-11
13570,2011-12-11
13571,2011-12-11
13572,2011-12-11
13573,2011-12-11
13574,2011-12-11
13576,2011-12-11
13577,2011-12-11
13578,2011-12-11
13579,2011-12-11
13580,2011-12-11
13581,2011-12-11
13582,2011-12-11
13583,2011-12-11
13584,2011-12-11
13585,2011-12-11
13586,2011-12-11
13587,2011-12-11
13588,2011-12-11
13589,2011-12-11
13590,2011-12-11
13591,2011-12-11
13593,2011-12-11
13595,2011-12-11
13596,2011-12-11
13597,2011-12-11
13598,2011-12-11
13600,2011-12-11
13602,2011-12-11
13604,2011-12-11
13605,2011-12-11
13607,2011-12-11
13608,2011-12-11
13609,2011-12-11
13610,2011-12-11
13611,2011-12-11
13612,2011-12-11
13613,2011-12-11
13614,2011-12-11
13615,2011-12-11
13616,2023-09-18
13617,2011-12-11
13618,2011-12-11
13620,2011-12-11
13621,2011-12-11
13624,2011-12-11
13625,2011-12-11
13626,2011-12-11
13627,2011-12-11
13628,2011-12-11
13629,2011-12-11
13630,2011-12-11
13631,2011-12-11
13632,2011-12-11
13633,2011-12-11
13634,2011-12-11
13635,2011-12-11
13637,2011-12-11
13638,2011-12-11
13644,2011-12-11
13645,2011-12-11
13646,2011-12-11
13658,2011-12-11
13659,2011-12-11
13661,2011-12-11
13668,2011-12-11
13673,2011-12-11
13676,2011-12-11
13679,2011-12-11
13681,2011-12-11
13682,2011-12-11
13683,2011-12-11
13685,2011-12-11
13686,2011-12-11
13687,2011-12-11
13688,2011-12-11
13690,2011-12-11
13693,2011-12-11
13694,2011-12-11
13695,2011-12-11
13697,2011-12-11
13698,2011-12-11
13699,2011-12-11
13701,2011-12-11
13703,2011-12-11
13704,2011-12-11
13705,2011-12-11
13709,2011-12-11
13714,2011-12-11
13715,2011-12-11
13716,2011-12-11
13724,2011-12-11
13727,2011-12-11
13728,2011-12-11
13729,2011-12-11
13730,2011-12-11
13732,2011-12-11
13733,2011-12-11
13734,2011-12-11
13735,2011-12-11
13736,2011-12-11
13739,2011-12-11
13740,2011-12-11
13741,2011-12-11
13742,2011-12-11
13743,2011-12-11
13744,2011-12-11
13747,2011-12-11
13748,2011-12-11
13749,2011-12-11
13750,2011-12-11
13753,2011-12-11
13754,2011-12-11
13756,2011-12-11
13757,2011-12-11
13758,2011-12-11
13759,2011-12-11
13760,2011-12-11
13762,2024-06-11
13763,2011-12-11
13764,2011-12-11
13766,2011-12-11
13767,2011-12-11
13768,2011-12-11
13769,2011-12-11
13770,2011-12-11
13771,2011-12-11
13772,2011-12-11
13773,2011-12-11
13774,2011-12-11
13775,2011-12-11
13776,2011-12-11
13777,2011-12-11
13779,2011-12-11
13780,2011-12-11
13781,2011-12-11
13782,2011-12-11
13783,2011-12-11
13784,2011-12-11
13785,2011-12-11
13786,2011-12-11
13787,2011-12-11
13788,2011-12-11
13789,2011-12-11
13790,2011-12-11
13791,2011-12-11
13792,2011-12-11
13793,2011-12-11
13794,2011-12-11
13795,2011-12-11
13796,2011-12-11
13797,2011-12-11
13798,2011-12-11
13799,2011-12-11
13800,2011-12-11
13801,2011-12-11
13802,2011-12-11
13803,2011-12-11
13804,2011-12-11
13807,2011-12-11
13808,2011-12-11
13809,2011-12-11
13810,2011-12-11
13811,2011-12-11
13812,2011-12-11
13813,2011-12-11
13814,2011-12-11
13815,2011-12-11
13816,2011-12-11
13817,2011-12-11
13819,2011-12-11
13820,2011-12-11
13821,2011-12-11
13822,2011-12-11
13823,2011-12-11
13824,2011-12-11
13825,2011-12-11
13826,2011-12-11
13827,2011-12-11
13828,2011-12-11
13829,2011-12-11
13830,2011-12-11
13831,2011-12-11
13832,2011-12-11
13833,2011-12-11
13834,2011-12-11
13835,2011-12-11
13836,2011-12-11
13837,2011-12-11
13838,2011-12-11
13839,2011-12-11
13840,2011-12-11
13841,2011-12-11
13842,2011-12-11
13844,2011-12-11
13845,2011-12-11
13846,2011-12-11
13847,2011-12-11
13848,2011-12-11
13849,2011-12-11
13850,2011-12-11
13851,2011-12-11
13852,2011-12-11
13853,2011-12-11
13854,2011-12-11
13855,2011-12-11
13863,2011-12-11
13864,2011-12-11
13865,2011-12-11
13866,2011-12-11
13867,2011-12-11
13868,2011-12-11
13869,2011-12-11
13870,2011-12-11
13871,2011-12-11
13874,2011-12-11
13875,2011-12-11
13876,2011-12-11
13877,2011-12-11
13879,2011-12-11
13882,2011-12-11
13883,2011-12-11
13884,2011-12-11
13885,2011-12-11
13886,2011-12-11
13887,2011-12-11
13891,2011-12-11
13895,2025-07-15
13896,2025-07-15
13897,2011-12-11
13900,2025-07-15
13901,2025-10-01
13902,2011-12-11
13903,2011-12-11
13904,2011-12-11
13905,2011-12-11
13907,2025-07-15
13909,2011-12-11
13910,2011-12-11
13911,2011-12-11
13912,2011-12-11
13913,2025-12-02
13914,2025-08-08
13915,2011-12-11
13917,2011-12-11
13918,2011-12-11
13919,2011-12-11
13920,2025-08-12
13921,2025-08-12
13924,2025-08-08
13925,2025-08-08
13927,2011-12-11
13928,2025-08-08
13929,2025-08-08
13930,2011-12-11
13931,2011-12-11
13932,2011-12-11
13933,2011-12-11
13934,2025-08-08
13938,2011-12-11
13939,2011-12-11
13940,2011-12-11
13941,2011-12-11
13942,2011-12-11
13944,2011-12-11
13945,2011-12-11
13947,2011-12-11
13948,2011-12-11
13949,2011-12-11
13950,2025-07-15
13951,2025-07-15
13952,2025-07-15
13953,2025-07-15
13955,2011-12-11
13957,2011-12-11
13958,2011-12-11
13959,2025-07-15
13962,2011-12-11
13965,2011-12-11
13966,2011-12-11
13967,2011-12-11
13970,2011-12-11
13973,2011-12-11
13974,2011-12-11
13975,2011-12-11
13981,2011-12-11
13982,2011-12-11
13983,2011-12-11
13984,2024-02-16
13985,2011-12-11
13987,2011-12-11
13988,2011-12-11
13989,2011-12-11
13993,2025-08-04
13994,2011-12-11
13996,2011-12-11
13998,2025-07-10
13999,2011-12-11
14000,2011-12-11
14001,2011-12-11
14008,2011-12-11
14011,2025-08-15
14019,2011-12-11
14022,2011-12-11
14023,2011-12-11
14024,2011-12-11
14025,2011-12-11
14026,2011-12-11
14027,2011-12-11
14028,2011-12-11
14029,2011-12-11
14030,2011-12-11
14031,2011-12-11
14032,2011-12-11
14033,2011-12-11
14034,2011-12-11
14035,2011-12-11
14036,2011-12-11
14037,2011-12-11
14038,2011-12-11
14039,2011-12-11
14040,2011-12-11
14041,2011-12-11
14042,2011-12-11
14043,2011-12-11
14044,2011-12-11
14045,2011-12-11
14047,2011-12-11
14048,2011-12-11
14049,2011-12-11
14050,2011-12-11
14051,2011-12-11
14052,2011-12-11
14053,2011-12-11
14054,2011-12-11
14055,2011-12-11
14056,2011-12-11
14057,2011-12-11
14058,2011-12-11
14059,2011-12-11
14060,2011-12-11
14061,2011-12-11
14062,2011-12-11
14063,2011-12-11
14064,2011-12-11
14065,2011-12-11
14066,2011-12-11
14067,2011-12-11
14068,2011-12-11
14069,2011-12-11
14070,2011-12-11
14071,2011-12-11
14073,2011-12-11
14075,2011-12-11
14076,2011-12-11
14077,2011-12-11
14078,2011-12-11
14079,2011-12-11
14080,2011-12-11
14081,2011-12-11
14082,2011-12-11
14083,2011-12-11
14084,2011-12-11
14085,2011-12-11
14086,2024-07-31
14087,2011-12-11
14088,2011-12-11
14089,2011-12-11
14090,2011-12-11
14091,2011-12-11
14092,2011-12-11
14093,2011-12-11
14094,2011-12-11
14095,2011-12-11
14096,2011-12-11
14097,2011-12-11
14098,2011-12-11
14099,2011-12-11
14100,2011-12-11
14101,2011-12-11
14102,2011-12-11
14103,2011-12-11
14104,2011-12-11
14105,2011-12-11
14106,2011-12-11
14107,2011-12-11
14108,2011-12-11
14109,2011-12-11
14110,2011-12-11
14111,2011-12-11
14112,2011-12-11
14113,2011-12-11
14114,2011-12-11
14115,2011-12-11
14116,2011-12-11
14117,2011-12-11
14118,2011-12-11
14119,2011-12-11
14120,2011-12-11
14121,2011-12-11
14122,2011-12-11
14123,2011-12-11
14124,2011-12-11
14125,2011-12-11
14126,2011-12-11
14127,2011-12-11
14128,2011-12-11
14129,2011-12-11
14130,2011-12-11
14131,2011-12-11
14132,2011-12-11
14133,2011-12-11
14134,2011-12-11
14135,2011-12-11
14136,2011-12-11
14138,2011-12-11
14139,2011-12-11
14140,2011-12-11
14141,2011-12-11
14142,2011-12-11
14143,2011-12-11
14144,2011-12-11
14145,2011-12-11
14146,2011-12-11
14147,2011-12-11
14148,2011-12-11
14149,2011-12-11
14150,2011-12-11
14151,2011-12-11
14152,2011-12-11
14153,2011-12-11
14154,2011-12-11
14155,2011-12-11
14156,2011-12-11
14157,2024-06-20
14158,2011-12-11
14159,2011-12-11
14161,2011-12-11
14162,2011-12-11
14163,2011-12-11
14164,2011-12-11
14165,2011-12-11
14166,2011-12-11
14167,2011-12-11
14168,2011-12-11
14169,2011-12-11
14170,2011-12-11
14171,2011-12-11
14172,2011-12-11
14173,2011-12-11
14174,2011-12-11
14175,2011-12-11
14176,2011-12-11
14177,2011-12-11
14178,2011-12-11
14181,2011-12-11
14182,2011-12-11
14183,2011-12-11
14184,2011-12-11
14185,2011-12-11
14186,2011-12-11
14187,2011-12-11
14188,2011-12-11
14189,2011-12-11
14190,2011-12-11
14191,2011-12-11
14192,2011-12-11
14193,2011-12-11
14194,2011-12-11
14195,2011-12-11
14196,2011-12-11
14197,2011-12-11
14198,2011-12-11
14199,2011-12-11
14200,2011-12-11
14201,2011-12-11
14202,2011-12-11
14203,2011-12-11
14204,2011-12-11
14205,2011-12-11
14206,2011-12-11
14207,2011-12-11
14208,2011-12-11
14209,2011-12-11
14210,2011-12-11
14211,2011-12-11
14212,2011-12-11
14214,2025-08-18
14215,2025-08-11
14216,2025-10-21
14218,2011-12-11
14219,2025-10-21
14220,2025-10-21
14221,2025-10-21
14222,2025-10-21
14223,2025-10-21
14224,2025-10-21
14226,2025-10-27
14227,2025-10-27
14228,2011-12-11
14229,2025-10-21
14230,2011-12-11
14231,2025-10-20
14232,2025-10-21
14234,2025-10-22
14237,2025-09-29
14238,2025-05-23
14239,2025-09-25
14240,2025-11-04
14241,2025-10-28
14243,2011-12-11
14244,2025-11-10
14245,2025-11-13
14246,2011-12-11
14247,2011-12-11
14248,2011-12-11
14249,2011-12-11
14250,2011-12-11
14252,2025-11-10
14253,2025-11-10
14254,2025-11-19
14255,2025-10-21
14256,2025-11-13
14257,2025-10-21
14258,2025-10-21
14259,2025-10-21
14260,2025-10-21
14261,2025-10-22
14262,2025-10-21
14263,2025-10-21
14264,2025-10-09
14265,2025-10-21
14266,2025-10-21
14267,2025-10-21
14268,2025-10-21
14269,2025-10-21
14270,2011-12-11
14271,2025-10-21
14272,2025-10-21
14273,2011-12-11
14274,2025-10-21
14275,2025-11-04
14276,2025-10-16
14278,2025-11-18
14279,2011-12-11
14280,2025-11-04
14281,2011-12-11
14282,2011-12-11
14283,2025-11-04
14284,2011-12-11
14285,2011-12-11
14286,2011-12-11
14287,2011-12-11
14288,2011-12-11
14289,2011-12-11
14290,2011-12-11
14291,2011-12-11
14292,2025-10-21
14293,2011-12-11
14294,2011-12-11
14295,2011-12-11
14296,2011-12-11
14297,2011-12-11
14298,2011-12-11
14299,2011-12-11
14300,2011-12-11
14301,2011-12-11
14302,2011-12-11
14303,2011-12-11
14304,2011-12-11
14305,2011-12-11
14306,2011-12-11
14307,2011-12-11
14308,2011-12-11
14309,2011-12-11
14310,2011-12-11
14311,2011-12-11
14312,2011-12-11
14313,2011-12-11
14314,2011-12-11
14315,2011-12-11
14316,2011-12-11
14317,2011-12-11
14318,2011-12-11
14319,2011-12-11
