CDFANTASIA    DEFANTASIA                                                       CDFILIAL    UFPROJ    
139           INMETRO-SC                                                       1           SC        
138           CEF-RJ 4                                                         1           RJ        
140           UDESC                                                            1           SC        
290           SEBRAE-RS 2                                                      1           RS        
142           TJ-SC 2                                                          1           SC        
141           SDR-ITAJAI                                                       1           SC        
143           GVT-SC                                                           1           SC        
144           MF-RJ                                                            5           RJ        
291           SEBRAE-RS 3                                                      1           RS        
145           FEESC                                                            1           SC        
292           CEF-REC-RS                                                       1           RS        
146           UFS-SE2                                                          1           SE        
147           FMS-FPOLIS                                                       1           SC        
148           CEF-SP5                                                          1           SP        
149           CEF-RJ 5                                                         1           RJ        
293           JF-RS                                                            1           RS        
150           UFRJ                                                             1           RJ        
151           CLUBEDOZE                                                        1           SC        
294           SEBRAE-RS 4                                                      1           RS        
295           JF-RS 2                                                          1           RS        
153           CEF-SP6                                                          1           SP        
152           MF-RJ2                                                           1           RJ        
154           ORLI KOCK-ME                                                     1           SC        
296           PROCEMPA-RS                                                      1           RS        
155           FUNASA-SE                                                        1           SE        
297           PMPOA-SAMU                                                       1           RS        
156           LAR SFA                                                          1           SC        
298           JC-RS                                                            1           RS        
157           COMLURB                                                          1           RJ        
9999999       SUPER-ROSA                                                       1           SC        
299           JF-RS 3                                                          1           RS        
158           C.O SÃO JORGE                                                    1           SC        
159           CASAN                                                            1           SC        
300           PROCEMPA-RS 2                                                    1           RS        
160           UDESC 2                                                          1           SC        
161           INMETRO-GO                                                       1           GO        
301           CEF-RS/APOIO                                                     1           RS        
162           PSA INFORMÁTICA                                                  1           SC        
163           PETROBRAS-RJ2                                                    1           RJ        
302           PMPOA-SAMU2                                                      1           RS        
303           PETROBRAS/RS                                                     1           RS        
164           SDR-TAIO                                                         1           SC        
165           CEF-SC/LIMP 1                                                    1           SC        
166           CEF-SC/LIMP 2                                                    1           SC        
167           CEF-PR 1                                                         1           PR        
168           CEF-PR 2                                                         1           PR        
169           BB-SP                                                            1           SP        
170           SINE                                                             1           SC        
304           PF-RS                                                            5           RS        
171           DNPM-PR                                                          1           PR        
173           CIANET                                                           1           SC        
305           BB-RS                                                            1           RS        
174           PETROBRAS-RJ3                                                    1           RJ        
175           BB-MG                                                            1           MG        
445           UFSC-2                                                           1           SC        
176           AGU-SP                                                           1           SP        
177           BB-DF                                                            1           DF        
306           BB-RS2                                                           1           RS        
307           BB-RS3                                                           1           RS        
179           SERPRO                                                           1           SC        
180           AGU-CE                                                           1           CE        
178           CEF/APOIO-PR                                                     1           PR        
308           SMS/RS                                                           1           RS        
309           DRF/CXL-RS                                                       1           RS        
181           BB-SP2                                                           1           SP        
182           BB-PR                                                            1           PR        
183           JF-RJ                                                            1           RJ        
184           UFABC-SP                                                         1           SP        
186           PF-SP                                                            1           SP        
185           DRF/MARILIA-SP                                                   1           SP        
310           MF-RS                                                            1           RS        
187           PF-PR                                                            1           PR        
188           PF-SC 2                                                          1           SC        
190           INSS-SC                                                          1           SC        
189           AGU-ES                                                           1           ES        
311           DRF/SANTA MARIA-RS                                               1           RS        
312           CEF-LIMP-RS 2                                                    1           RS        
313           CEF-LIMP-RS 3                                                    1           RS        
314           SMS-RS 2                                                         1           RS        
315           SEBRAE/RS-5                                                      1           RS        
191           EMBRATUR-DF                                                      1           DF        
193           SENADO FEDERAL 2                                                 1           DF        
192           CEF-RJ 6                                                         1           RJ        
195           PLANSUL - RJ                                                     1           RJ        
317           TJ-RS                                                            1           RS        
402           INPI-CE                                                          1           CE        
316           DENIT-RS                                                         1           RS        
401           INPI-PE                                                          1           PE        
196           PLANSUL - SE                                                     1           SE        
198           PLANSUL - CE                                                     1           CE        
199           PLANSUL - PR                                                     1           PR        
