CDFANTASIA    DEFANTASIA                                                       CDFILIAL    UFPROJ    
733           ICMBIO BA                                                        15          BA        
373           FURG                                                             15          RS        
374           TJ RS 13                                                         1           RS        
734           ICMBIO AL                                                        15          CE        
735           UFMG-4                                                           15          MG        
736           CEF-MG-2                                                         10          MG        
738           TJ CE                                                            20          CE        
739           INSS-DF                                                          20          DF        
740           FUFMT 3                                                          20          MT        
743           DNOCS                                                            20          CE        
741           SEBRAE -SC                                                       5           SC        
375           INMETRO-RS-2                                                     20          RS        
744           AGU-DF                                                           20          DF        
745           FIOCRUZ-PR                                                       15          PR        
746           SESA-PR-2                                                        5           PR        
747           TJ-MT-2                                                          5           MT        
748           STF                                                              20          DF        
749           PGE-PR                                                           10          PR        
750           PLANSUL-COLOMBO-PR                                               1           PR        
751           DER-PR-2                                                         10          PR        
752           DER-PR-3                                                         10          PR        
753           UFLA-2                                                           5           MG        
754           UFMG-6                                                           15          MG        
755           DER-PR-4                                                         10          PR        
756           SENADO-12                                                        10          DF        
757           IAT-PR                                                           10          PR        
758           SEAB-PR                                                          10          PR        
759           SESP-PR-13                                                       20          PR        
760           DER-PR-5                                                         10          PR        
761           SESP-PR-14                                                       5           PR        
762           FUNASA-MS                                                        20          MS        
376           TJ-RS-14                                                         10          RS        
763           BCB                                                              20          DF        
764           UFRJ-IG                                                          20          RJ        
765           UFRJ-HESFA                                                       20          RJ        
766           UFRJ                                                             20          RJ        
767           UFRJ-IPPMG                                                       20          RJ        
768           UFRJ-IPUB                                                        20          RJ        
769           UFRJ-IDT                                                         20          RJ        
377           BANRISUL-2                                                       20          RS        
770           SEDEF-PR-2                                                       10          PR        
771           PRTUR-PR                                                         5           PR        
772           SESP-PR-15                                                       20          PR        
773           TJ-MG-11                                                         15          MG        
774           RE-PR                                                            15          PR        
775           UFRJ-INDC                                                        20          RJ        
776           TJ-AL                                                            20          CE        
777           EBSERH-BA                                                        20          BA        
791           UFLA-3                                                           20          MG        
793           INSS-SP                                                          5           SP        
792           ON RJ-2                                                          10          RJ        
794           UFRJ-IG-2                                                        20          RJ        
781           REPR_2                                                           15          PR        
782           UFRJ-INDC-2                                                      20          RJ        
795           TRT-MG                                                           10          MG        
797           SIE-SC-2                                                         10          SC        
798           UNPRF-SC                                                         20          SC        
796           COBRA-5-DF                                                       10          DF        
799           SECID-PR-1                                                       10          PR        
800           SECID-PR-2                                                       10          PR        
801           NAO USAR                                                         10          PR        
802           SECID-PR-3                                                       10          PR        
804           UFRJ-HUCFF                                                       20          RJ        
805           SESA-PR-3                                                        5           PR        
806           SESA-PR-4                                                        5           PR        
809           UNIFAL-MG-3                                                      20          MG        
808           UNIFAL-MG-2                                                      20          MG        
807           UNIFAL-MG-1                                                      20          MG        
810           ANS-RJ-2                                                         20          RJ        
811           SENADO-13                                                        1           DF        
812           CEF-MT                                                           1           MT        
813           ICMBIO-SC-2                                                      1           SC        
814           UFMG-7                                                           1           MG        
815           SESP-PR-16                                                       10          PR        
816           FINEP-SP                                                         5           SP        
817           ADAPAR-PR                                                        10          PR        
818           MP-MG-2                                                          1           MG        
819           UFRJ-IG-3                                                        20          RJ        
820           SEDEF_PR                                                         10          PR        
821           SEAB-PR-2                                                        10          PR        
822           IAPAR-PR                                                         10          PR        
823           SEJU-PR-1                                                        10          PR        
824           SEJU-PR-2                                                        10          PR        
825           SEJU-PR-3                                                        10          PR        
826           SESP-PR-17                                                       10          PR        
827           SESP-PR-18                                                       10          PR        
828           SETR-PR-1                                                        10          PR        
829           SETR-PR-2                                                        10          PR        
830           SETR-PR-3                                                        10          PR        
831           SESP-PR-19                                                       10          PR        
832           UFRJ-CCJE                                                        20          RJ        
833           BB-SC-7                                                          1           SC        
834           MGISP-SP                                                         5           SP        
835           TJ GO 1                                                          1           DF        
836           TJ GO 2                                                          1           GO        
837           TJ GO 3                                                          1           GO        
838           INSS SP 2                                                        5           SP        
839           TCU-DF-5                                                         1           DF        
840           INSS-SP-3                                                        5           SP        
378           UFRGS-3                                                          1           RS        
841           IFBA -BA                                                         1           BA        
842           IPEN_SP                                                          5           SP        
843           SENADO-14                                                        1           DF        
844           INMETRO_DF                                                       1           GO        
845           AGU-DF-2                                                         1           DF        
846           SENADO-15                                                        1           DF        
847           PGFN-DF                                                          1           DF        
848           ANTT 2 - DF                                                      1           DF        
849           PRF-SC-3                                                         1           SC        
850           UFMG-8                                                           1           MG        
851           INSS-SC                                                          1           SC        
379           CAIXA RS 9                                                       1           RS        
852           BANRISUL 3                                                       20          RJ        
853           ICMBIO RJ                                                        20          RJ        
854           TRT BA 2                                                         1           BA        
855           BB-ES-4                                                          1           ES        
856           UFSC-3                                                           1           SC        
857           TCU-DF-6                                                         <null>      DF        
858           AGU-MS                                                           <null>      MS        
859           SEED-PR                                                          <null>      PR        
999911        CASA J. ATLAN.                                                   <null>      SC        
999912        CASA AGRO. 190                                                   <null>      SC        
999913        CASA AGRO. 223                                                   <null>      SC        
860           MD-DF                                                            <null>      DF        
861           AGU-MS-2                                                         <null>      MS        
862           TJ-MG-12                                                         <null>      MG        
863           TJ-MG-13                                                         <null>      MG        
864           TJ-MG-14                                                         <null>      MG        
865           COBRA-6-DF                                                       <null>      DF        
866           AL-MG-4                                                          <null>      MG        
867           ENAP                                                             <null>      DF        
868           PRF-SC-4                                                         <null>      SC        
869           MINTUR                                                           <null>      DF        
870           MINC                                                             <null>      DF        
871           TJ-CE-4                                                          <null>      CE        
872           EBC DF                                                           <null>      DF        
873           MAPA-DF                                                          <null>      DF        
874           AGU-MS-3                                                         <null>      MS        
875           SENADO-16                                                        <null>      DF        
876           PREVIC                                                           <null>      DF        
877           COPEL-PR                                                         <null>      PR        
878           BB-SC-8                                                          <null>      SC        
880           ANAC-PR-RS                                                       <null>      PR        
881           ANAC-PE                                                          <null>      CE        
882           MGISP-SC                                                         <null>      SC        
883           SEDF-GO                                                          <null>      DF        
884           DNIT-SE                                                          <null>      SE        
885           SETUR-RN                                                         <null>      CE        
879           FILIAL DF                                                        <null>      DF        
886           TRE-AL                                                           <null>      AL        
887           IBRAM-RJ                                                         <null>      RJ        
888           TJ-MG-15                                                         <null>      MG        
889           TJ-MG-16                                                         <null>      MG        
890           PALMARES-DF                                                      <null>      DF        
891           ANPD-DF                                                          <null>      DF        
892           SERINT-DF                                                        <null>      DF        
893           IPHAN-DF                                                         <null>      DF        
894           FNABUCO-PE-2                                                     <null>      CE        
895           SEED-PR-2                                                        <null>      PR        
896           SERINT-GO                                                        <null>      GO        
897           ITI-DF                                                           <null>      DF        
898           BCB-2                                                            <null>      DF        
899           RF-SP-5                                                          <null>      SP        
904           RF-SP-9                                                          <null>      SP        
903           RF-SP-8                                                          <null>      SP        
900           RF-SP-6                                                          <null>      SP        
902           RF-SP-7                                                          <null>      SP        
905           ALESC                                                            <null>      SC        
906           MP-CE                                                            <null>      CE        
908           ELETROSUL-3 - XANXARÊ                                            <null>      SC        
909           ELETROSUL-3 - GRAVATAÍ                                           <null>      SC        
910           ELETROSUL-3 - CAMPO GRANDE                                       <null>      SC        
911           ELETROSUL-3 - CURITIBA                                           <null>      SC        
907           ELETROSUL-3 - SÃO JOSE                                           <null>      SC        
912           MP-CE-2                                                          <null>      CE        
913           TJ-MG-17                                                         <null>      MG        
914           TJ-MG-18                                                         <null>      MG        
915           ANM-SC                                                           <null>      SC        
916           PF-DF                                                            <null>      DF        
917           BANRISUL-SC                                                      <null>      SC        
918           RF-SP-10                                                         <null>      SP        
919           BRDE-SC                                                          <null>      SC        
920           FUFMT-4                                                          <null>      MT        
921           CBMSC                                                            <null>      SC        
922           MMULHER-DF                                                       <null>      DF        
923           INCRA-DF                                                         <null>      DF        
924           MP-CE-3                                                          <null>      CE        
925           ANP-PF-DF                                                        <null>      DF        
926           BCB-3                                                            <null>      DF        
927           TRF-DF                                                           <null>      DF        
928           CAMARA-TV-4                                                      <null>      DF        
929           TSE-DF                                                           <null>      DF        
930           TJ-CE-5                                                          <null>      CE        
931           SEJU-PR-1                                                        <null>      RJ        
932           SEJU-PR-2                                                        <null>      PR        
933           SEJU-PR-3                                                        <null>      PR        
934           CAIXA-PB                                                         <null>      CE        
999914        ARQUIVO CENTRAL                                                  <null>      SC        
999915        ALMOXARIFADO CENTRAL                                             <null>      SC        
935           ESCRITÓRIO-PB                                                    <null>      PE        
936           PF-SC-4                                                          <null>      SC        
937           FNABUCO-PE-3                                                     <null>      PB        
