NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
6734	32118	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6735	28893	ESCADA DE ALUMINIO 6 DEGRAUS	736	501	51	133838	EM USO	2024-09-25	NULL	RYAN	2024-12-19
6736	28884	LAVADORA DE ALTA PRESSÃO KÄRCHER COMPACTA 1500PSI	736	501	119	133838	EM USO	2024-09-25	NULL	RYAN	2024-12-19
6737	32230	SMARTPHONE SAMSUNG GALAXY A15	8	530	322	133838	EM USO	NULL	NULL	BEA.SC	2025-12-01
6738	29357	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-06	NULL	RYAN	2025-01-24
6739	32407	LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 110V	736	501	984	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-25
6740	32409	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-25
6741	32428	ESCADA DE ALUMINIO 6 DEGRAUS	736	501	51	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6742	32427	LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 110V	736	501	984	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6743	32429	LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 110V	736	501	984	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6744	32430	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6745	32488	ESCADA DE ALUMINIO 7 DEGRAUS	736	501	52	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6746	32503	ESCADA DE ALUMINIO 6 DEGRAUS	736	501	51	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6747	32504	ESCADA DE ALUMINIO 6 DEGRAUS	736	501	51	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6748	32404	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-06	NULL	RYAN	2025-02-27
6749	32423	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-16	NULL	RYAN	2025-02-27
6750	36869	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-16	NULL	BEA.SC	2025-08-25
6751	29359	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
6752	29360	LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 110V	736	501	984	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
6753	29361	ESCADA DE ALUMINIO 7 DEGRAUS	736	501	52	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
6754	32510	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2024-12-16	NULL	RYAN	2025-02-05
6755	29362	LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 110V	736	501	984	133838	EM USO	2024-12-16	NULL	RYAN	2025-01-24
