NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
3819	30071	MESA DE ESCRITORIO GRANDE MARMORE 6 GAVETAS	8	530	406	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3820	30072	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	530	409	133838	EM USO	NULL	NULL	BEA.SC	2025-12-01
3821	30073	ARMARIO 4 GAVETAS	8	530	410	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3822	30074	ARMARIO DE MADEIRA 2 PORTAS DE VIDRO	8	530	411	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3824	17226	MONITOR DELL	8	530	402	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3825	8512	MONITOR DELL	8	530	402	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3826	14023	SUPORTE DE VIDRO PARA MONITOR	8	530	414	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3827	14024	SUPORTE DE VIDRO PARA MONITOR	8	530	414	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3828	14025	CPU	8	530	151	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3829	14026	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3830	14027	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	530	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3831	14029	SMARTPHONE LG K9 TV	8	530	309	133838	EM USO	NULL	NULL	BEA.SC	2025-11-14
3832	14030	SMARTPHONE SAMSUNG GALAXY A03 CORE	8	530	323	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
3833	14031	SCANNER SCANSNAP IX500	8	530	418	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
