NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
61	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
62	EM USO		1			1899-12-31		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
63	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
64	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
65	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
66	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
67	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
68	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
69	EM USO		1			27/02/1900		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
71	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
72	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
73	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
74	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
75	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
76	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
77	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
78	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
79	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
80	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
81	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
82	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
83	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
84	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
85	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
86	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
87	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
88	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
89	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
90	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
91	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
92	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
93	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
94	EM USO		2058			11/12/2011	CASA UNIFORMES	133838	8	BEA.SC	01/12/2025	44136	403	S
95	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
96	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
97	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
98	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
99	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
100	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
101	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
102	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
103	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
104	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
105	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
106	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
107	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
108	EM USO		2058			11/12/2011	CASA UNIFORMES	133838	8	BEA.SC	01/12/2025	44136	251	S
109	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
110	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
111	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
112	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
113	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
114	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
115	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
116	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
117	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
118	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
119	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
120	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
121	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
122	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
123	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
124	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
126	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
127	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
128	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
130	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
131	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
132	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
133	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
134	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
135	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
136	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
137	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
138	Á DISPOSIÇÃO		1			11/12/2011		133838	100001	RYAN	14/11/2024	44136	390	N
139	EM USO		1445			11/12/2011		133838	530	RYAN	01/07/2024	44136	390	N
