CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
691	ELÓI MENDES FÓRUM	773	0
692	JACUTINGA FÓRUM	773	0
693	MONTE SIÃO FÓRUM	773	0
694	OURO FINO FÓRUM	773	0
695	PIUMHI FÓRUM	773	0
696	POÇOS DE CALDAS JESP	773	0
697	POÇOS DE CALDAS FÓRUM	773	0
698	PAIAGUAS, MT	812	0
699	PA FIEMT	812	0
700	UFMT, MT	812	0
701	13 DE JUNHO, MT	13	0
702	PRAINHA, MT	812	0
703	COXIPO, MT	812	0
704	MIGUEL SUTIL, MT	812	0
705	MORADA DO OURO, MT	812	0
706	ORGAOS FAZENDARIOS, MT	812	0
707	JUSTICA FEDERAL CUIABA, MT	812	0
708	CIDADE VERDE, MT	812	0
709	TANGARA DA SERRA, MT	812	0
710	TRT 23A REGIAO CUIABA, MT	812	0
711	BOM JESUS DE CUIABA, MT	812	0
712	RONDONOPOLIS, MT	812	0
713	PAB TRT RONDONOPOLIS	812	0
714	TUIUIU, MT	812	0
715	VARZEA GRANDE, MT	812	0
716	PANTANEIRA, MT	812	0
717	IPE, MT	812	0
718	SAANC SINOP	812	0
719	SINOP, MT	812	0
720	PAB TRT SINOP	812	0
721	MATRINXA, MT	812	0
722	SEV SINOP	812	0
723	BARRA DO BUGRES, MT	812	0
724	CACERES, MT	812	0
725	PAE QUIOSQUE PM CACERES	812	0
726	AGUAS DO PANTANAL, MT	812	0
727	BARRA DO GARCAS, MT	812	0
728	AGUAS DO ARAGUAIA, MT	812	0
729	JACIARA, MT	812	0
730	SNC JACIARA, MT	812	0
731	ALTA FLORESTA, MT	812	0
732	DIAMANTINO, MT	812	0
733	SORRISO, MT	812	0
734	LUCAS DO RIO VERDE, MT	812	0
735	CAMPO VERDE, MT	812	0
736	ALTO ARAGUAIA, MT	812	0
737	GUARANTA DO NORTE, MT	812	0
738	JUINA, MT	812	0
739	CONFRESA, MT	812	0
740	PONTES E LACERDA, MT	812	0
741	CAMPO NOVO PARECIS, MT	812	0
742	COLIDER, MT	812	0
743	NOVA MUTUM, MT	812	0
744	JUARA, MT	812	0
745	MIRASSOL D OESTE, MT	812	0
746	SAPEZAL, MT	812	0
747	AGUA BOA, MT	812	0
748	PA AGRO PRIMAVERA  (INAUGUROU MÊS 6/2023	812	0
749	PRIMAVERA DO LESTE, MT	812	0
750	CANARANA, MT	812	0
751	PARANAITA, MT	812	0
752	FELIZ NATAL, MT	812	0
753	MATUPA, MT	812	0
754	TAPURAH, MT	812	0
755	PEIXOTO DE AZEVEDO, MT	812	0
756	NOVA OLIMPIA, MT	812	0
757	ITIQUIRA, MT	812	0
758	CAMPOS DE JULIO, MT	812	0
759	POCONE, MT	812	0
760	ALTO TAQUARI, MT	812	0
761	AGRO TELES PIRES, MT	812	0
762	PA NOVA XAVANTINA/MT	812	0
763	PA AGRO PARECIS/MT	812	0
764	PA AGRO CANARANA/MT	812	0
765	ED SEDE CUIABA - COMANDANTE COSTA	812	0
766	ARIPUANA, MT	812	0
767	COMODORO, MT	812	0
768	PORTAL NORTE, MT	812	0
769	SAO JOSE DO RIO CLARO, MT	812	0
770	AGRO ALTIPLANO	812	0
771	AGRO TANGARA DA SERRA	812	0
772	FINEP RJ	640	0
773	APS BELFORD ROXO	650	0
774	APS CIAD	650	0
775	APS BARRA TIJUCA	650	0
776	APS LARGO DO BICÃO	650	0
777	APS GUAPIMIRIM	650	0
778	APS DEL CASTILHO	650	0
779	APS ILHA DO GOVERNO	650	0
780	APS JAPERI	650	0
781	APS JARDIM PRIMAVERA	650	0
782	APS COPACABANA	650	0
783	APS MESQUITA	650	0
784	APS OLINDA ELLIS	650	0
785	APS PARACAMBI	650	0
786	APS RAMOS	650	0
787	APS QUEIMADOS	650	0
788	APS RAIMUNDO CORREA	650	0
789	CASA	650	0
790	APS SANTA CRUZ	650	0
791	CEDOC NOVA IGUAÇU	650	0
792	COMISSÃO DE INQUÉRITO	650	0
793	DEPÓSITO NÃO OPERACIONAL	650	0
794	APS TIJUCA	650	0
795	MINISTÉRIO DA INTEGRAÇÃO	650	0
796	APS DUQUE DE CAXIAS 25 DE MARÇO	650	0
797	PREVIC - APS DIGITAL	650	0
798	APS ALMIRANTE BARROSO	650	0
799	APS NILÓPOLIS	650	0
800	APS ANDRÉ MOREIRA	650	0
801	APS COSME VELHO	650	0
802	APS ITAGUAI	650	0
803	APS CENTRO	650	0
804	APS PRESIDENTE VARGAS	650	0
805	APS PRESIDENTE ANTÔNIO CARLOS	650	0
806	APS REALENGO	650	0
807	APS JACAREPAGUÁ	650	0
808	APS MAGÉ	650	0
809	APS NILO PEÇANHA	650	0
810	APS MARACANÃ	650	0
811	APS BANGU	650	0
812	APS MIGUEL LEMOS	650	0
813	APS AVENIDA BRASIL	650	0
814	APS ENGENHEIRO TRINDADE	650	0
815	CEDOCPREV 2	650	0
816	CEDOCPREV 1	650	0
817	APS OLARIA	650	0
818	CEDOC CORDOVIL	650	0
819	APS BANDEIRA	650	0
820	APS MEIER	650	0
821	CEDOC GALENO	650	0
822	GEX RIO DE JANEIRO NORTE	650	0
823	GEX DUQUE DE CAXIAS	650	0
824	APS NOVA IGUAÇU	650	0
825	GEX RIO DE JANEIRO CENTRO	650	0
826	APS SÃO JOÃO DO MERITI	650	0
827	TJ RJ	660	0
828	INSTITUTO DE CRIMINALISTICA	623	0
829	INSTITUTO MÉDICO LEGAL	625	0
830	MUSEU DO OLHO	642	0
831	SEDE / MP / CJAP	642	0
832	MIS (MUSEU DA IMAGEM E DO SOM)	642	0
833	MEXP (MUSEU DO EXPEDICIONÁRIO)	642	0
834	MAA (MUSEU ALFREDO ANDERSEN)	642	0
835	CASA GOMM	642	0
836	SUPERINTENDÊNCIA DA REGIONAL LESTE	658	0
837	COMANDO DA 1ª CIA DO BPRV	658	0
838	GRÊNCIA DE EQUIPAMENTOS	658	0
839	SEDE MINISTÉRIO DA ECONOMIA RS	358	0
840	PORTO ALEGRE - ARQUIVO GERAL DO MINISTÉRIO DA ECONOMIA RS	358	0
841	PORTO ALEGRE - DEPÓSITO	358	0
842	BENTO GONÇALVES RS (ESCRITÓRIO DE REPRESENTAÇÃO)	358	0
843	LAJEADO RS (ESCRITÓRIO DE REPRESENTAÇÃO)	358	0
844	PASSO FUNDO RS (PSFN)	358	0
845	PELOTAS RS (PSFN)	358	0
846	SANTA MARIA RS (PSFN)	358	0
847	SANTO ÂNGELO RS (PSFN)	358	0
848	URUGUAIANA RS (PSFN)	358	0
849	PORTO ALEGRE	358	0
850	RIO GRANDE	358	0
851	PELOTAS	358	0
852	SANTA MARIA	358	0
853	BAGÉ	358	0
854	OSÓRIO	358	0
855	NOVO HAMBURGO	358	0
856	GRAVATAÍ	358	0
857	CAXIAS DO SUL	358	0
858	PALMEIRA DAS MISSÕES	358	0
859	PASSO FUNDO	358	0
860	LAJEADO	358	0
861	SANTA CRUZ DO SUL	358	0
862	SANTO ÂNGELO	358	0
863	URUGUAIANA	358	0
864	SÃO BORJA	358	0
865	AG SANTO ANTONIO DAS MISSÕES	377	0
866	PA PM PORTO VERA CRUZ	377	0
867	AG AUGUSTO PESTANA	377	0
868	AG ENTRE IJUÍS	377	0
869	AG PORTO LUCENA	377	0
870	AG ROQUE GONZALES	377	0
871	PA BOZANO	377	0
872	PA CORONEL BARROS	377	0
873	PA NOVO MACHADO	377	0
874	PA PORTO MAUÁ	377	0
875	PA UBIRETAMA	377	0
876	PA VITÓRIA DAS MISSÕES	377	0
877	AG GIRUÁ	377	0
878	PA SALVADOR DAS MISSÕES	377	0
879	PA SENADOR SALGADO FILHO	377	0
880	PA BOA VISTA DO CADEADO	377	0
881	AG SANTO CRISTO	377	0
882	AG ALEGRIA	377	0
883	AG BAIRRO PIPPI	377	0
884	AG  SÃO LUIZ GONZAGA	377	0
885	AG BOA VISTA DO INCRA	377	0
886	AG CAIBATÉ	377	0
887	AG CRUZ ALTA	377	0
888	AG CAMPINA DAS MISSÕES	377	0
889	AG CÂNDIDO GODÓI	377	0
890	AG CERRO LARGO	377	0
891	AG CRUZEIRO SANTA ROSA	377	0
892	AG DR. MAURÍCIO CARDOSO	377	0
893	AG EUGÊNIO DE CASTRO	377	0
894	AG FORTALEZA DOS VALOS	377	0
895	AG IJUÍ	377	0
896	AG SANTO ÂNGELO	377	0
897	AG SANTA ROSA	377	0
898	AG GARRUCHOS	377	0
899	AG GUARANI DAS MISSÕES	377	0
900	AG HORIZONTINA	377	0
901	AG INDEPENDÊNCIA	377	0
902	AG JÓIA	377	0
903	AG PORTAL DAS MISSÕES	377	0
904	AG SALTO DO JACUÍ	377	0
905	AG SÃO MIGUEL DAS MISSÕES	377	0
906	AG SÃO NICOLAU	377	0
907	AG SÃO PAULO DAS MISSÕES	377	0
908	AG TRÊS DE MAIO	377	0
909	AG TUCUNDUVA	377	0
910	AG TUPARENDI	377	0
911	AG CATUÍPE	377	0
912	AG AV. PLÁCITO DE CASTRO	377	0
913	AG BOSSOROCA	377	0
914	AG PORTO XAVIER	377	0
915	SUREG NOROESTE	377	0
916	PFN/SC ( 917,64 GARAGEM )	463	0
917	CGU-R/SC	463	0
918	SPU/SC	463	0
919	PSFN/BLUMENAU	463	0
920	PSFN/CHAPECÓ	463	0
921	PSFN/CRICIÚMA	463	0
922	PSFN/JOAÇABA	463	0
923	PSFN/JOINVILLE	463	0
924	SAMF/SC	463	0
925	SUPERINTENDENCIA REGIONAL DO TRABALHO SC	613	0
926	GERENCIA REGIONAL EM BLUMENAU	613	0
927	GERENCIA REGIONAL EM CHAPECO	613	0
928	GERENCIA REGIONAL EM CRICIUMA	613	0
929	GERENCIA REGIONAL EM JOINVILLE	613	0
930	GERENCIA REGIONAL EM LAGES	613	0
931	AGENCIA REGIONAL EM ARARANGUA	613	0
932	AGENCIA REGIONAL EM BALNEARIO CAMBURIU	613	0
933	AGENCIA REGIONAL EM BRUSQUE	613	0
934	AGENCIA REGIONAL EM CAÇADOR	613	0
935	AGENCIA REGIONAL EM CONCORDIA	613	0
936	AGENCIA REGIONAL EM ITAJAI	613	0
937	AGENCIA REGIONAL EM JARAGUA DO SUL	613	0
938	AGENCIA REGIONAL EM JOAÇABA	613	0
939	AGENCIA REGIONAL EM LAGUNA	613	0
940	AGENCIA REGIONAL EM MAFRA	613	0
941	AGENCIA REGIONAL EM RIO DO SUL	613	0
942	AGENCIA REGIONAL EM RIO NEGRINHO	613	0
943	AGENCIA REGIONAL EM SÃO JOSE	613	0
944	AGENCIA REGIONAL EM SÃO MIGUEL DO OESTE	613	0
945	AGENCIA REGIONAL EM TUBARAO	613	0
946	AGENCIA REGIONAL EM URUSSANGA	613	0
947	AGENCIA REGIONAL EM  VIDEIRA	613	0
948	APA DA BALEIA FRANCA	813	0
949	FLONA CAÇADOR	813	0
950	FLONA CHAPECÓ	813	0
951	FLONA TRÊS BARRAS	813	0
952	NGI FLORIANÓPOLIS (JURERÊ)	813	0
953	NGI FLORIANÓPOLIS (COSTEIRA)	813	0
954	NGI IBIRAMA	813	0
955	PARNA SERRA DO ITAJAÍ	813	0
956	PARNA SERRA SÃO JOAQUIM	813	0
957	MARAVILHA	833	0
958	ARAQUARI	833	0
959	BALN.BARRA DO SUL	833	0
960	NOVA ITABERABA	833	0
961	PONTE ALTA DO NORTE	833	0
962	SAO CRISTOVAO DO SUL	833	0
963	SAO PEDRO ALCANTARA	833	0
964	CENTRAL-SC/FLORIANOPOLIS	833	0
965	CENTENARIO	833	0
966	IMARUI	833	0
967	CALCADAO LAGES	833	0
968	RIO DAS ANTAS	833	0
969	BAIRRO SANTA RITA/BRUSQUE	833	0
970	BOM JARDIM DA SERRA	833	0
971	ATLANTICO SUL/BALN. CAMBORIU	833	0
972	TRES BARRAS	833	0
973	SAUDADES	833	0
974	SAO JOSE DO CERRITO	833	0
975	JABORA	833	0
976	ANGELINA	833	0
977	TIMBE DO SUL	833	0
978	RIO FORTUNA	833	0
979	IMBUIA	833	0
980	PETROLANDIA	833	0
981	ATALANTA	833	0
982	PAULO LOPES	833	0
983	ARROIO TRINTA	833	0
984	LACERDOPOLIS	833	0
985	MAJOR GERCINO	833	0
986	MARACAJA	833	0
987	PINHEIRO PRETO	833	0
988	ROMELANDIA	833	0
989	PEDRAS GRANDES	833	0
990	IPIRA	833	0
991	SAO MARTINHO-SC	833	0
992	SANTA ROSA DE LIMA	833	0
993	ANITAPOLIS	833	0
994	BOTUVERA	833	0
995	LEOBERTO LEAL	833	0
996	AGUAS MORNAS	833	0
997	PRES.CASTELO BRANCO	833	0
998	PRESIDENTE NEREU	833	0
999	SAO BONIFACIO	833	0
1000	PERITIBA	833	0
1001	WITMARSUM	833	0
1002	IBICARE	833	0
1003	RANCHO QUEIMADO	833	0
1004	PALHOCA/CENTRO	833	0
1005	SAO JOAO DO SUL	833	0
1006	CORREIA PINTO	833	0
1007	ERVAL VELHO	833	0
1008	MODELO	833	0
1009	SUL BRASIL	833	0
1010	CANELINHA	833	0
1011	LUIZ ALVES	833	0
1012	NOVA ERECHIM	833	0
1013	AGUAS FRIAS	833	0
1014	GUARUJA DO SUL	833	0
1015	GRAO PARA	833	0
1016	AGRONOMICA	833	0
1017	LONTRAS	833	0
1018	LAURENTINO	833	0
1019	GUABIRUBA	833	0
1020	SCHROEDER	833	0
1021	PENHA	833	0
1022	GALVAO	833	0
1023	GOV.CELSO RAMOS	833	0
1024	AURORA	833	0
1025	DONA EMMA	833	0
1026	IRACEMINHA	833	0
1027	LINDOIA DO SUL	833	0
1028	MAREMA	833	0
1029	UNIAO DO OESTE	833	0
1030	SANTA ROSA DO SUL	833	0
1031	ABDON BATISTA	833	0
1032	TUNAPOLIS	833	0
1033	PREF.MUN.STA.HELENA	833	0
1034	SERRA ALTA	833	0
1035	JOSE BOITEUX	833	0
1036	VITOR MEIRELES	833	0
1037	ITAPOA	833	0
1038	URUPEMA	833	0
1039	DOUTOR PEDRINHO	833	0
1040	APIUNA	833	0
1041	VILA NOVA/JOINVILLE	833	0
1042	TIMBO GRANDE	833	0
1043	LUZERNA	833	0
1044	BELA VISTA/SÃO JOSE	833	0
1045	CAPIVARI DE BAIXO	833	0
1046	RIO MAINA	833	0
1047	AG. SHOPPING IGUATEMI	379	0
1048	SNC SHOPPING IGUATEMI	379	0
1049	AG. ASSIS BRASIL	379	0
1050	AG. VILA FERNANDES	379	0
1051	AG. CORONEL BORDINI	379	0
1052	AG. BOURBON WALLIG	379	0
1053	AG. V COMAR	379	0
1054	PAB JT CANOAS	379	0
1055	AG. MOINHOS DE VENTO	379	0
1056	AG. NAVEGANTES	379	0
1057	AG. PASSO DA AREIA	379	0
1058	AG. PROTÁSIO ALVES	379	0
1059	AG. SÃO JOÃO	379	0
1060	LABORATÓRIO DE AGÊNCIAS	379	0
1061	AG. AVENIDA DO FORTE	379	0
1062	AG. BENTO GONÇALVES	379	0
1063	AG. CAMPO BOM	379	0
1064	AG. CANOAS	379	0
1065	SNC CANOAS	379	0
1066	AG. CAXIAS DO SUL	379	0
1067	AG DIGITAL SERRA GAUCHA	379	0
1068	PAB JT CAXIAS DO SUL	379	0
1069	SR SERRA GAÚCHA	379	0
1070	GIHAB/CX	379	0
1071	REGOV/CX	379	0
1072	AG. ESTÂNCIA VELHA	379	0
1073	AG. ESTEIO	379	0
1074	AG. ESTRELA	379	0
1075	AG. FARROUPILHA	379	0
1076	AG. GARIBALDI	379	0
1077	AG. GRAVATAÍ	379	0
1078	SNC GRAVATAÍ	379	0
1079	PAB JT GRAVATAÍ/RS	379	0
1080	AG. GUAÍBA	379	0
1081	AG. LAJEADO	379	0
1082	AG. NOVO HAMBURGO	379	0
1083	SEV NOVO HAMBURGO	379	0
1084	REGOV/NH	379	0
1085	REOPE/NH	379	0
1086	GIHAB/NH	379	0
1087	CEHOJ/NH	379	0
1088	AG. OSÓRIO	379	0
1089	AG. SÃO FRANCISCO DE PAULA	379	0
1090	AG. SÃO JERÔNIMO	379	0
1091	AG. SÃO LEOPOLDO	379	0
1092	AG. SAPIRANGA	379	0
1093	AG. TAQUARA	379	0
1094	AG. TAQUARI	379	0
1095	AG. TRAMANDAÍ	379	0
1096	SNC TRAMANDAÍ	379	0
1097	AG. TORRES	379	0
1098	AG. VACARIA	379	0
1099	AGRO VACARIA	379	0
1100	PA PM VACARIA	379	0
1101	AG. VERANÓPOLIS	379	0
1102	AG. VENÂNCIO AIRES	379	0
1103	AG. MONTENEGRO	379	0
1104	AG. ENCANTADO	379	0
1105	AG. NOVA PRATA	379	0
1106	AG. CANELA	379	0
1107	AG. SÃO SEBASTIÃO DO CAÍ	379	0
1108	AG. SERAFINA CORRÊA	379	0
1109	AG. SANTO ANTÔNIO DA PATRULHA	379	0
1110	AG. CACHOEIRINHA	379	0
1111	SNC CACHOEIRINHA	379	0
1112	PAB JT CACHOEIRINHA	379	0
1113	AG. GUAPORÉ	379	0
1114	AG. ALTO PETRÓPOLIS	379	0
1115	AG. SAPUCAIA DO SUL	379	0
1116	SNC SAPUCAIA DO SUL	379	0
1117	AG. FLORES DA CUNHA	379	0
1118	AG. VIAMÃO	379	0
1119	AG. GRAMADO	379	0
1120	SAANC GRAMADO	379	0
1121	AG. NOVA PETRÓPOLIS	379	0
1122	AG. SÃO MARCOS	379	0
1123	AG. TRÊS COROAS	379	0
1124	AG. ANTÔNIO PRADO	379	0
1125	AG. DOIS IRMÃOS	379	0
1126	AG. CASCA	379	0
1127	AG. PAROBÉ	379	0
1128	AG. ALVORADA	379	0
1129	AG. MUÇUM	379	0
1130	AG. NOVA BASSANO	379	0
1131	AG. AV. CARLOS GOMES	379	0
1132	AG. SÃO PELEGRINO	379	0
1133	SAANC PRATA VIEIRA	379	0
1134	SAANC SÃO PELEGRINO	379	0
1135	AG. CAPUCHINHOS	379	0
1136	REOPE /CX	379	0
1137	AG. VOLTA DO GUERINO	379	0
1138	AG. SCHARLAU	379	0
1139	AG. ARROIO DO MEIO	379	0
1140	AG. CRUZEIRENSE	379	0
1141	AG. ROCA SALES	379	0
1142	AG. UNISINOS	379	0
1143	AG. BUTIA	379	0
1144	AG. FELIZ	379	0
1145	AG. IVOTI	379	0
1146	AG. PORTÃO DO SUL	379	0
1147	AG. ROLANTE	379	0
1148	AG. DOM PEDRO II	379	0
1149	AG. IGREJINHA	379	0
1150	AG. CARLOS BARBOSA	379	0
1151	AG. CORONEL VICENTE	379	0
1152	AG. CAPÃO DA CANOA	379	0
1153	AG. MONTE BELO	379	0
1154	AG. CANUDOS	379	0
1155	AG. BAIRRO CIDADE ALTA	379	0
1156	AG. VINTE DE SETEMBRO	379	0
1157	AG. NOSSA SRA. DE LOURDES	379	0
1158	AG. PÁTRIA NOVA	379	0
1159	AG. IGARA	379	0
1160	AG. CANOAS SHOPPING	379	0
1161	AG. TRIUNFO	379	0
1162	AG. ELDORADO DO SUL	379	0
1163	AG. JARDIM PLANALTO	379	0
1164	AG. AVENIDA JOÃO CORREA	379	0
1165	AG. FERRABRAZ	379	0
1166	AG. PARQUE DOS ANJOS	379	0
1167	AG. VALE DO SOL	379	0
1168	AG. MATHIAS VELHO	379	0
1169	AG. SERTÓRIO	379	0
1170	AG. SANTOS FERREIRA	379	0
1171	AG. VILA SANTA ISABEL	379	0
1172	AG. METROPOLITANA	379	0
1173	AG. PADRE REUS	379	0
1174	AG. BOM PRINCÍPIO	379	0
1175	AG. PERIMETRAL SUL	379	0
1176	AG. BOM JESUS DA SERRA	379	0
1177	AG. NOVA SAPUCAIA	379	0
1178	AG. OSVALDO ARANHA	379	0
1179	AG. FLORESTAL	379	0
1180	AG. CHARQUEADAS	379	0
1181	AG. JARDIM DO SHOPPING	379	0
1182	AG. NOVA SANTA RITA	379	0
1183	AG. PERIMETRAL NORTE	379	0
1184	AG. TEUTÔNIA	379	0
1185	PA PM TEUTÔNIA	379	0
1186	PAB JF NOVO HAMBURGO	379	0
1187	PAB JT BENTO GONÇALVES	379	0
1188	AG. IMIGRANTE	379	0
1189	AG. AV FREDERICO LINCK	379	0
1190	AG. BAIRRO PIO X	379	0
1191	PAB JF CAXIAS DO SUL	379	0
1192	AG. MOSTARDAS	379	0
1193	AG. RINCÃO	379	0
1194	AG. BAIRRO RIO BRANCO	379	0
1195	AG. MARECHAL FLORIANO	379	0
1196	AG. PALMARES DO SUL	379	0
1197	AG. CAMINHOS DE CRAVAGGIO	379	0
1198	AG. BAIRRO SANTA CATARINA	379	0
1199	AG. ARROIO DOS RATOS	379	0
1200	AG. IMBÉ	379	0
1201	AG. BAIRRO LIBERDADE	379	0
1202	AG. NOVA HARTZ	379	0
1203	REJUR/NH	379	0
1204	AG. EMPRESARIAL CAXIAS DO SUL	379	0
1205	REJUR/CX	379	0
1206	AGRO LAJEADO	379	0
1207	AG. ABERTA DOS MORROS	379	0
1208	AG. AÇORIANOS	379	0
1209	AG. AV. OTTO NIEMEYER	379	0
1210	AG. AZENHA	379	0
1211	AG. BAIRRO RESTINGA	379	0
1212	AG. BOM FIM	379	0
1213	AG. BOURBON IPIRANGA	379	0
1214	AG. CAVALHADA	379	0
1215	AG. CRISTAL	379	0
1216	AG. ERICO VERÍSSIMO	379	0
1217	AG. GUIA LOPES	379	0
1218	AG. INDEPENDÊNCIA	379	0
1219	AG. INTERCAP	379	0
1220	AG. JOSÉ DO PATROCÍNIO	379	0
1221	AG. JUCA BATISTA	379	0
1222	AG. LOMBA DO PINHEIRO	379	0
1223	AG. LUIS DE CAMÕES	379	0
1224	AG. LUPICÍNIO RODRIGUES	379	0
1225	AG. MENINO DEUS	379	0
1226	AG. MONTE CRISTO	379	0
1227	AG. OTÁVIO ROCHA	379	0
1228	AG. PARCÃO	379	0
1229	AG. PARTENON	379	0
1230	AG. AV. PROF. OSCAR PEREIRA	379	0
1231	AG. SHOPPING JOÃO PESSOA	379	0
1232	AG. PRAÇA DO PORTÃO	379	0
1233	AG. PRAÇA RUI BARBOSA	379	0
1234	ED. ODOMO - GILIE	379	0
1235	AG. PRAIA DE BELAS	379	0
1236	AG. RUA DA PRAIA	379	0
1237	AG. SETE DE SETEMBRO	379	0
1238	AG. SHOPPING TOTAL	379	0
1239	AG. TRISTEZA	379	0
1240	AG. VICENTE DA FONTOURA	379	0
1241	PA DPF/RS	379	0
1242	PA TRF 4ª REGIÃO	379	0
1243	PA JUSTIÇA FEDERAL PORTO ALEGRE	379	0
1244	PA JT DE POA	379	0
1245	PA TRT 4ª REGIÃO	379	0
1246	PA SMF	379	0
1247	SNC GALERIA CHAVES	379	0
1248	QUIOSQUE SANTA CASA	379	0
1249	AG. AREAL	379	0
1250	AG. ARROIO GRANDE	379	0
1251	AG. BAGÉ	379	0
1252	PAB JT BAGÉ	379	0
1253	AG. CAMAQUÃ	379	0
1254	AG. CANGUÇU	379	0
1255	AG. CASSINO	379	0
1256	SNC CASSINO	379	0
1257	AG. CIDADE NOVA	379	0
1258	AG. DOM PEDRITO	379	0
1259	AG. FRAGATA	379	0
1260	REGOV/PL	379	0
1261	REHAB/PL	379	0
1262	AG. JAGUARÃO	379	0
1263	AG. NOIVA DO MAR	379	0
1264	PAB JT RIO GRANDE	379	0
1265	AG. NOSSA SENHORA DA LUZ	379	0
1266	AG. PELOTAS	379	0
1267	RETRI/PL	379	0
1268	AG. PRINCESA DO SUL	379	0
1269	AG. RAINHA DA FRONTEIRA	379	0
1270	PA PM BAGÉ	379	0
1271	PAB JF BAGÉ	379	0
1272	AG. RIO GRANDE	379	0
1273	SNC RIO GRANDE	379	0
1274	AG. SANTA VITÓRIA DO PALMAR	379	0
1275	AG. SÃO JOSÉ DO NORTE	379	0
1276	AG. SÃO LOURENÇO DO SUL	379	0
1277	AG. SERTÃO SANTANA	379	0
1278	AG. SIMÕES LOPES	379	0
1279	PA GOVERNO EXTREMO SUL	379	0
1280	AG. TAPES	379	0
1281	AG. TRÊS VENDAS	379	0
1282	PA FURG	379	0
1283	PAB IFSUL/RS	379	0
1284	PAB JF PELOTAS	379	0
1285	PAB JF RIO GRANDE	379	0
1286	PAB JT PELOTAS	379	0
1287	AGRO PELOTAS	379	0
1288	AG. ALEGRETE	379	0
1289	AG. CACHOEIRA DO SUL	379	0
1290	AG. CARAZINHO	379	0
1291	SNC CARAZINHO	379	0
1292	AG. CERRO LARGO	379	0
1293	AG. CRUZ ALTA	379	0
1294	SNC CRUZ ALTA	379	0
1295	PAB JF CRUZ ALTA	379	0
1296	PAB JT CRUZ ALTA	379	0
1297	AG. ERECHIM	379	0
1298	PAB JT ERECHIM	379	0
1299	PAB JF ERECHIM	379	0
1300	AG. FREDERICO WESTPHALEN	379	0
1301	AG. GETÚLIO VARGAS	379	0
1302	AG. GIRUÁ	379	0
1303	AG. HORIZONTINA	379	0
1304	AG. IBIRUBÁ	379	0
1305	AG. IJUÍ	379	0
1306	AG. ITAQUI	379	0
1307	AG. JAGUARI	379	0
1308	AG. JÚLIO DE CASTILHOS	379	0
1309	AG. LAGOA VERMELHA	379	0
1310	AG. PALMEIRA DAS MISSÕES	379	0
1311	AG. PANAMBI	379	0
1312	AG. PASSO FUNDO	379	0
1313	GIGOV/PF	379	0
1314	SR NORTE GAÚCHO	379	0
1315	AG. DIGITAL NORTE GAÚCHO	379	0
1316	AG EMPRESARIAL NORTE GAUCHO	379	0
1317	PA GOVERNO NORTE GAÚCHO	379	0
1318	SEG NORTE GAUCHO, RS	379	0
1319	SEH NORTE GAUCHO, RS	379	0
1320	REJUR - PASSO FUNDO	379	0
1321	HABITACAO PASSO FUNDO	379	0
1322	REOPE/PF	379	0
1323	PAB JT PASSO FUNDO	379	0
1324	PAB PM PASSO FUNDO	379	0
1325	AG. QUARAÍ	379	0
1326	AG. RIO PARDO	379	0
1327	AG. ROSÁRIO DO SUL	379	0
1328	AG. SANTA CRUZ DO SUL	379	0
1329	PAB JT SANTA CRUZ	379	0
1330	QUIOSQUE UNISC	379	0
1331	AG. SANTA MARIA	379	0
1332	SR CENTRO GAÚCHO/SEG/SEH/PA GOVERNO	379	0
1333	SEV SANTA MARIA	379	0
1334	GIGOV/SM	379	0
1335	CICOC/SM (CICOB/SM)	379	0
1336	REHAB/SM	379	0
1337	AG. SANTA ROSA	379	0
1338	PAB JT SANTA ROSA	379	0
1339	AG. SANTIAGO	379	0
1340	AG. SANTO ÂNGELO	379	0
1341	REJUR SANTO ÂNGELO	379	0
1342	AG. LIVRAMENTO	379	0
1343	AG. SÃO BORJA	379	0
1344	AG. SÃO GABRIEL	379	0
1345	AG. SÃO LUIZ GONZAGA	379	0
1346	AG. SARANDI	379	0
1347	AG. SOLEDADE	379	0
1348	AG. TRÊS PASSOS	379	0
1349	AG. TRÊS DE MAIO	379	0
1350	AG. TUPANCIRETÃ	379	0
1351	AG. URUGUAIANA	379	0
1352	PAB JT URUGUAIANA	379	0
1353	PAB PM URUGUAIANA	379	0
1354	AG. CAMOBI	379	0
1355	AG. NÃO-ME-TOQUE	379	0
1356	AG. CAÇAPAVA DO SUL	379	0
1357	AG. SANTO AUGUSTO	379	0
1358	AG. MARAU	379	0
1359	AG. ESPUMOSO	379	0
1360	AG. SÃO SEPÉ	379	0
1361	AG. VERA CRUZ	379	0
1362	AG. CANDELÁRIA	379	0
1363	AG. JACUHY	379	0
1364	AG. RESTINGA SECA	379	0
1365	AG. AGUDO	379	0
1366	AG. SÃO PEDRO DO SUL	379	0
1367	AG. UFSM	379	0
1368	AG. PRAÇA MARECHAL FLORIANO	379	0
1369	AG. YMEMBUÍ	379	0
1370	REJUR/SM	379	0
1371	AG EMPRESARIAL CENTRO E SUL GAUCHO	379	0
1372	DIGITAL CENTRO GAUCHO, RS	379	0
1373	PAB JF DE SANTA MARIA	379	0
1374	AG. ARVOREZINHA	379	0
1375	AG. CAMPINAS DO SUL	379	0
1376	AG. VIADUTOS	379	0
