NUPATR	CODPROJ	DTMOVI	TIPO	USUARIO	DTOPERACAO
36462	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36464	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36464	648	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36465	773	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36468	773	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36469	773	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36471	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36473	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36474	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36475	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36476	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36477	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36478	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36479	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36480	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36480	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36481	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36482	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36483	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36484	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36484	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36485	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36487	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36488	736	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36489	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36494	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36497	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36498	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36499	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36500	888	2025-09-11 00:00:00	INCLUSAO	BEA.SC	2025-09-11 00:00:00
36501	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36502	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36503	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36504	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36504	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36505	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36505	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36506	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36506	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36507	736	2025-08-04 00:00:00	INCLUSAO	BEA.SC	2025-08-04 00:00:00
36508	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36509	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36510	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36511	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36512	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36514	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36515	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
