NUPATR	CODPROJ	DTMOVI	TIPO	USUARIO	DTOPERACAO
36798	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36851	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36852	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36853	773	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36854	773	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36855	773	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36856	773	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36857	773	2025-08-13 00:00:00	INCLUSAO	BEA.SC	2025-08-13 00:00:00
36858	773	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36859	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36859	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36859	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36860	889	2025-08-25 00:00:00	INCLUSAO	BEA.SC	2025-08-25 00:00:00
