NUSEOBJETO    NUSEQTIPOPATR    DEOBJETO                                                                                                                                                   
305           32               CORTADOR DE GRAMA ELETRICO GARTHEN GSM-200G                                                                                                                
306           37               MODEM ZTE MF 79U                                                                                                                                           
307           27               DESKTOP C3 TECH                                                                                                                                            
308           21               MONITOR OAC                                                                                                                                                
309           58               SMARTPHONE LG K9 TV                                                                                                                                        
310           23               NOTEBOOK SAMSUNG BA 68-1309A                                                                                                                               
311           23               NOTEBOOK ACER ASPIRE A515-54-57CS                                                                                                                          
312           22               AR CONDICIONADO PHILCO                                                                                                                                     
313           48               IMPRESSORA HP DESK JET 2136                                                                                                                                
314           48               IMPRESSORA HP DESK JET 2774                                                                                                                                
315           59               ARMARIO 2 PORTAS                                                                                                                                           
316           39               ESTANTE DE AÇO PARA ARQUIVOS                                                                                                                               
317           62               SANDUICHEIRA BRITANIA BELLO PANE INOX                                                                                                                      
318           63               CAFETEIRA ELÉTRICA DOLCE AROME PRETO C-30-18X-FB MONDIAL 110V                                                                                              
320           20               CADEIRA DE ESCRITORIO GIRATORIA                                                                                                                            
321           53               MESA DE ESCRITORIO                                                                                                                                         
322           58               SMARTPHONE SAMSUNG GALAXY A15                                                                                                                              
323           58               SMARTPHONE SAMSUNG GALAXY A03 CORE                                                                                                                         
324           23               NOTEBOOK LENOVO V14 G3 IAP                                                                                                                                 
325           21               MONITOR LG LED 27" IPS FULL HD HDMI VGA AMD FREESYNC 27MP400-B                                                                                             
327           58               SMARTPHONE SAMSUNG A02S                                                                                                                                    
328           58               SMARTPHONE LG K22                                                                                                                                          
329           58               SMARTPHONE SAMSUNG A02S                                                                                                                                    
330           53               MESA DE ESCRITÓRIO INDIVIDUAL EM L                                                                                                                         
331           59               ARMARIO 2 PORTAS PARA ARQUIVOS 160CM                                                                                                                       
332           59               ARMARIO PEQUENO PARA ARQUIVOS                                                                                                                              
333           23               NOTEBOOK ACER ASPIRE 3                                                                                                                                     
334           58               SMARTPHONE MOTOROLA MOTO E7 POWER                                                                                                                          
335           58               SMARTPHONE SAMSUNG GALAXY A05                                                                                                                              
336           64               TELEFONE FIXO GRANDSTREAM                                                                                                                                  
337           22               AR CONDICIONADO ELETROLUX                                                                                                                                  
339           21               MONITOR 29'' LED FULL HD ULTRAWIDE 29WL500 HDMI HDR IPS LG COR PRETO                                                                                       
340           59               ARMARIO PARA ARQUIVO 4 GRAVETAS MDF                                                                                                                        
343           8                ENCERADEIRA CLEANER 300 110V                                                                                                                               
344           8                ENCERADEIRA CLEANER 350 110V                                                                                                                               
345           8                ENCERADEIRA CLEANER 400 110V                                                                                                                               
346           20               CADEIRA DE ESCRITORIO PRETA COM BRACOS DE MADEIRA                                                                                                          
347           20               CADEIRA DE ESCRITORIO VERDE                                                                                                                                
348           20               CADEIRA DE ESCRITORIO CINZA (FIXA)                                                                                                                         
349           21               MONITOR AOC 27"                                                                                                                                            
350           2                ASPIRADOR DE PO E AGUA ACQUA POWER ELECTROLUX AQP20 18L 127V                                                                                               
351           8                ENCERADEIRA SCHUELER                                                                                                                                       
352           9                ESCADA DE ALUMINIO 4 DEGRAUS                                                                                                                               
355           11               LAVADORA DE ALTA PRESSÃO ELECTROLUX ELECTRA 1600W EAS                                                                                                      
356           11               LAVADORA DE ALTA PRESSÃO BLACK DECKER PW1400                                                                                                               
357           11               LAVADORA DE ALTA PRESSÃO LAVOR NEW MAX T80                                                                                                                 
358           11               LAVADORA DE ALTA PRESSÃO LAVOR LV1900                                                                                                                      
359           11               LAVADORA DE ALTA PRESSÃO KARCHER K2                                                                                                                        
360           11               LAVADORA DE ALTA PRESSÃO LAVOR PRO MAX 1600                                                                                                                
361           11               LAVADORA DE ALTA PRESSÃO LAVOR PRO                                                                                                                         
362           11               LAVADORA DE ALTA PRESSÃO POWER 19L                                                                                                                         
363           11               LAVADORA DE ALTA PRESSÃO WAP BRAVO 2550                                                                                                                    
364           11               LAVADORA DE ALTA PRESSÃO ELETROLUX ULTRA PRO 2200PSI                                                                                                       
365           65               CARRO CORTADOR DE GRAMA TRAMONTINA GARDEN LINE                                                                                                             
366           11               LAVADORA DE ALTA PRESSÃO HD 6/15 KARCHER                                                                                                                   
367           31               GELADEIRA ELECTROLUX RE28                                                                                                                                  
368           15               MICROONDAS CONSUL 25L                                                                                                                                      
369           59               ARMARIO SUSPENSO COR BRANCA                                                                                                                                
370           20               CADEIRA ESTOFADA PRETA (FIXA)                                                                                                                              
371           20               CADEIRA ESTOFADA CINZA (FIXA)                                                                                                                              
372           7                CORTADOR DE GRAMA ROBUSTA GSF 3800-2T                                                                                                                      
373           1                APARADOR DE GRAMA TOYAMA                                                                                                                                   
374           17               ROÇADEIRA FS 220 STIHL                                                                                                                                     
375           11               LAVADORA DE ALTA PRESSÃO ELECTROLUX AQUA HOME SINGLE                                                                                                       
376           11               LAVADORA DE ALTA PRESSÃO KARCHER 340                                                                                                                       
377           2                ASPIRADOR DE PO E AGUA ELECTROLUX GT3000 PRO                                                                                                               
378           2                ASPIRADOR DE PO E AGUA KRONOS 20                                                                                                                           
379           2                ASPIRADOR DE PO FLOOR VAC 1500 WAP                                                                                                                         
380           2                ASPIRADOR DE PO E AGUA ELECTROLUX FLEX 1400                                                                                                                
381           2                ASPIRADOR DE PO ELECTROLUX EQUIPT 180W                                                                                                                     
383           11               LAVADORA DE ALTA PRESSÃO HIDRO LAV SCHULZ 2600W                                                                                                            
384           2                ASPIRADOR DE PO ELECTROLUX GT 30                                                                                                                           
385           2                ASPIRADOR DE PO VAC A20                                                                                                                                    
386           2                ASPIRADOR DE PO ELECTROLUX PEQUENO                                                                                                                         
387           2                ASPIRADOR DE PO ELECTROLUX A20L                                                                                                                            
388           2                ASPIRADOR DE PO VONDER INDUSTRIAL                                                                                                                          
389           20               CADEIRA DE ESCRITORIO PRETA (GIRATORIA)                                                                                                                    
390           20               CADEIRA DE ESCRITORIO AZUL (GIRATORIA)                                                                                                                     
391           21               MONITOR 19.5 LED, WIDESCREEN, 75HZ                                                                                                                         
392           8                ENCERADEIRA CLEANER BANDEIRANTE                                                                                                                            
393           8                ENCERADEIRA CLEANER 1500 220V                                                                                                                              
394           8                ENCERADEIRA EMBASSATOR MINUTE MAN 110V                                                                                                                     
395           8                ENCERADEIRA KARCHER                                                                                                                                        
396           20               CADEIRA DE ESCRITORIO PRETA (FIXA)                                                                                                                         
397           27               CPU PC TORRE CORE I5 3.20GHZ 8GB SSD 240GB                                                                                                                 
398           17               ROÇADEIRA BRAVER LIGHT 110V                                                                                                                                
399           17               ROÇADEIRA MASTER 1000 TRAPP 100V                                                                                                                           
400           13               MAQUINA A VAPOR LAVOR SKY VAP MAX 110V                                                                                                                     
401           13               LAVADORA A VAPOR MOD SKY VAP 220V                                                                                                                          
402           34               MONITOR DELL                                                                                                                                               
403           53               MESA DE ESCRITORIO INDIVIDUAL 2 GAVETAS                                                                                                                    
404           59               ARMARIO BAIXO 2 GAVETAS                                                                                                                                    
405           48               IMPRESSORA BROTHER HL-5250DN                                                                                                                               
406           53               MESA DE ESCRITORIO GRANDE MARMORE 6 GAVETAS                                                                                                                
407           59               ARMARIO GRANDE DE METAL 2 PORTAS                                                                                                                           
408           59               ARMARIO GRANDE DE MADEIRA 2 PORTAS                                                                                                                         
409           53               MESA DE ESCRITORIO INDIVIDUAL REGULAVEL                                                                                                                    
410           59               ARMARIO 4 GAVETAS                                                                                                                                          
411           59               ARMARIO DE MADEIRA 2 PORTAS DE VIDRO                                                                                                                       
412           53               MESA INDIVIDUAL PEQUENA CURVADA                                                                                                                            
413           66               COFRE                                                                                                                                                      
414           28               SUPORTE DE VIDRO PARA MONITOR                                                                                                                              
415           28               SUPORTE 2 GAVETAS PARA MONITOR                                                                                                                             
416           28               SUPORTE 3 GAVETAS PARA MONITOR                                                                                                                             
417           64               TELEFONE FIXO INTELBRAS TIP 120I                                                                                                                           
418           50               SCANNER SCANSNAP IX500                                                                                                                                     
419           59               ARMARIO DE MDF CINZA 3 GAVETAS                                                                                                                             
420           59               ARMARIO DE MDF CINZA 4 GAVETAS                                                                                                                             
421           34               MONITOR SAMSUNG                                                                                                                                            
422           59               ARMARIO DE METAL PEQUENO PRETO 1 PORTA DE VIDRO                                                                                                            
423           59               BALCÃO PRETO 2 GAVETAS                                                                                                                                     
424           58               SMARTPHONE SAMSUNG A22                                                                                                                                     
425           67               BANQUETA PEQUENA                                                                                                                                           
426           68               LIQUIDIFICADOR FAST SHAKE                                                                                                                                  
427           62               SANDUICHEIRA MAIS VOCE                                                                                                                                     
428           62               SANDUICHEIRA PHILCO                                                                                                                                        
429           48               IMPRESSORA RICOH MINOLSUL SP5200S                                                                                                                          
430           69               ESTUFA DE PAPEL                                                                                                                                            
431           22               AR CONDICIONADO LG DUAL INVERTER                                                                                                                           
432           59               ARMARIO BAIXO MADEIRA CINZA 3 PORTAS                                                                                                                       
433           48               IMPRESSORA MINOLSUL DCP 8085DN                                                                                                                             
434           70               LONGARINA ESTOFADA CINZA 2 LUGARES                                                                                                                         
435           70               LONGARINA ESTOFADA CINZA 3 LUGARES                                                                                                                         
436           70               LONGARINA PRETA 3 LUGARES                                                                                                                                  
437           22               AR CONDICIONADO KOMECO KOP50FC                                                                                                                             
438           57               BEBEDOURO MASTERFRIO                                                                                                                                       
439           59               ARMARIO BALCAO 3 PORTAS                                                                                                                                    
440           34               MONITOR AOC                                                                                                                                                
441           59               ARMARIO BAIXO DE MADEIRA AMARELO 3 PORTAS                                                                                                                  
442           71               VENTILADOR MELLORY                                                                                                                                         
443           59               ARMARIO LONGO 2 GAVETAS                                                                                                                                    
444           59               ARMARIO LONGO DE MADEIRA 4 PORTAS                                                                                                                          
445           34               MONITOR AOC LED 21.5''                                                                                                                                     
446           4                CARRINHO DE CARGA 250KG                                                                                                                                    
447           59               ARMARIO DE MADEIRA 4 PORTAS                                                                                                                                
448           53               MESA DE ESCRITORIO GRANDE DE MARMORE 5 GAVETAS                                                                                                             
449           59               ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL                                                                                                                    
450           71               VENTILADOR VENTISOL                                                                                                                                        
451           59               ARMÁRIO DE MADEIRA 3 PORTAS 4 GAVETAS                                                                                                                      
452           34               MONITOR LG                                                                                                                                                 
453           59               ARMÁRIO DE METAL PRETO 1 PORTA DE VIDRO                                                                                                                    
454           31               GELADEIRA CONSUL COMPACTA                                                                                                                                  
455           53               MESA DE ESCRITORIO 3 GAVETAS                                                                                                                               
456           30               BALANÇA DIGITAL OMRON PREMIUM HN-289 SILKY GREY                                                                                                            
457           63               CAFETEIRA MARCHSONI                                                                                                                                        
458           31               GELADEIRA CONSUL                                                                                                                                           
459           53               MESA DE MADEIRA CINZA 6 LUGARES                                                                                                                            
460           15               MICROONDAS MO-01-21-W 21 LITROS 1200W BRANCO MONDIAL 110V                                                                                                  
461           53               MESA DE MADEIRA CINZA 4 LUGARES                                                                                                                            
462           15               MICROONDAS CONSUL                                                                                                                                          
463           15               MICROONDAS BRASTEMP                                                                                                                                        
464           15               MICROONDAS PHILCO                                                                                                                                          
465           31               GELADEIRA CONSUL 334L CRD37EB CYCLE DEFROST BRANCA 127V                                                                                                    
466           63               CAFETEIRA PHILCO                                                                                                                                           
467           53               MESA ESCOLAR                                                                                                                                               
468           2                ASPIRADOR DE PO E ÁGUA 14L POWER DUO NEW 1250W                                                                                                             
469           11               LAVADORA HD 6/15 KARCHER C CAGE PLUS 220V                                                                                                                  
470           2                ASPIRADOR DE PO E AGUA WAP GTW 20 INOX 1600W 20L 127V                                                                                                      
1037          20               CADEIRA DE ESCRITORIO GIRATORIA N17                                                                                                                        
472           59               ARQUIVO DE ACO 4 GAVETAS TRILHO DE NYLON                                                                                                                   
473           57               BEBEDOURO DE ÁGUA 25 LITROS DE COLUNA                                                                                                                      
474           20               CADEIRA DE ESCRITORIO AZUL (FIXA)                                                                                                                          
475           20               CADEIRA GERENTE MARROM (GIRATORIA)                                                                                                                         
476           20               CADEIRA DE ESCRITORIO CINZA (GIRATORIA)                                                                                                                    
477           20               CADEIRA GERENTE COURO MARROM (GIRATORIA)                                                                                                                   
478           53               MESA DE ESCRITORIO ILHA 4 LUGARES                                                                                                                          
479           27               CPU DELL                                                                                                                                                   
480           39               ESTANTE PRETA COM PARTELEIRAS 4 GAVETAS 2 GAVETOES                                                                                                         
481           39               ESTANTE PRETA COM PARTELEIRAS 4 GAVETOES                                                                                                                   
482           27               CPU OPTIPLEX 3010                                                                                                                                          
483           34               MONITOR POSITIVO                                                                                                                                           
484           71               VENTILADOR TYF 6 PAS                                                                                                                                       
485           64               TELEFONE FIXO INTELBRAS PLENO                                                                                                                              
486           72               PRATELEIRA DE AÇO 6 BANDEIJAS                                                                                                                              
487           64               TELEFONE SEM FIO                                                                                                                                           
488           57               BEBEDOURO                                                                                                                                                  
489           59               ARMARIO BAIXO 4 GAVETAS PRETO                                                                                                                              
490           59               ARMARIO BAIXO 5 GAVETAS PRETO                                                                                                                              
491           59               ARMARIO 2 PORTAS E 2 GAVETAS PRETO                                                                                                                         
492           27               CPU LENOVO                                                                                                                                                 
493           53               MESA DE VIDRO 6 LUGARES                                                                                                                                    
494           72               PRATELEIRA DE AÇO 5 BANDEIJAS                                                                                                                              
495           23               NOTEBOOK ACER ASPIRE ES1-5723562                                                                                                                           
496           20               CADEIRA DE ESCRITORIO PRETA GIRATORIA SEM BRAÇOS                                                                                                           
497           53               MESA DE REUNIÃO GRANDE                                                                                                                                     
498           59               ARMARIO DE METAL 9 PRATELEIRAS                                                                                                                             
499           53               MESA DE ESCRITORIO GRANDE                                                                                                                                  
500           73               PAINEL DE VIDRO COM LOGO PLANSUL                                                                                                                           
501           59               ARMARIO BAIXO DE METAL E VIDRO BRANCO 2 PORTAS                                                                                                             
502           22               AR CONDICIONADO CONSUL                                                                                                                                     
503           74               TABUA DE PASSAR ROUPA                                                                                                                                      
504           30               BALANÇA SONAKI SK-80                                                                                                                                       
505           53               MESA BALCAO DE MARMORE PRETO CURVADO                                                                                                                       
506           20               CADEIRA DE ESCRITORIO VERMELHA FIXA                                                                                                                        
507           59               ARMARIO DE MADEIRA 6 PRATELEIRAS                                                                                                                           
508           23               NOTEBOOK SAMSUNG                                                                                                                                           
509           23               NOTEBOOK LENOVO IDEAPAD                                                                                                                                    
510           23               NOTEBOOK ACER ASPIRE 5                                                                                                                                     
511           23               NOTEBOOK LENOVO IDEAPAD I3                                                                                                                                 
512           23               NOTEBOOK LENOVO IDEAPAD I5                                                                                                                                 
513           58               SMARTPHONE SAMSUNG GALAXY A04E                                                                                                                             
514           75               CORTADOR DE PAREDE 1500W 125MM CPW1500 WBR                                                                                                                 
515           76               NO BREAK                                                                                                                                                   
516           23               NOTEBOOK VAIO                                                                                                                                              
517           48               IMPRESSORA HP                                                                                                                                              
518           20               CADEIRA DE ESCRITORIO AZUL SEM BRAÇO (GIRATORIA)                                                                                                           
519           59               ARMARIO BAIXO 3 PORTAS CINZA                                                                                                                               
520           54               SERVIDOR ARQUIVOS                                                                                                                                          
521           54               SERVIDOR PABX                                                                                                                                              
523           77               SWITCH WIFI                                                                                                                                                
524           77               SWITCH LAN                                                                                                                                                 
525           77               SWITCH BACKUP                                                                                                                                              
526           76               NO BREAK ESTAÇÕES                                                                                                                                          
527           78               FIREWALL CONECTIVIDADE                                                                                                                                     
528           78               FIREWALL MIKROTIC                                                                                                                                          
529           37               ROTEADOR TP LINK                                                                                                                                           
530           76               NO BREAK LABORATORIO                                                                                                                                       
531           34               MONITOR PHILLIPS                                                                                                                                           
532           59               ARMARIO 3 PRATELEIRAS PRETO                                                                                                                                
533           79               RACK SERVIDORES                                                                                                                                            
534           76               NO BREAK SERVIDORES                                                                                                                                        
535           59               ARMARIO DE METAL PRETO 2 PORTAS DE VIDRO                                                                                                                   
536           77               SWITCH 24 PORTAS D-LINK                                                                                                                                    
537           77               SWITCH 48 PORTAS TP-LINK                                                                                                                                   
538           77               SWITCH 20 PORTAS D-NET                                                                                                                                     
539           77               SWITCH 16 PORTAS INTELBRAS                                                                                                                                 
540           77               SWITCH 8 PORTAS D-NET                                                                                                                                      
541           22               AR CONDICIONADO AGRATO                                                                                                                                     
542           22               AR CONDICIONADO SAMSUNG DIGITAL INVERTER                                                                                                                   
543           34               MONITOR BENQ                                                                                                                                               
544           59               ARMARIO 9 CHAVES                                                                                                                                           
545           58               SMARTPHONE SAMSUNG GALAXY A32                                                                                                                              
546           58               SMARTPHONE LG K8                                                                                                                                           
547           59               ARMARIO MDF 4 GAVETAS 1,50M                                                                                                                                
548           59               ARMARIO MDF 2 PORTAS 1,50M                                                                                                                                 
549           59               ARMÁRIO MDF 2 PORTAS 90 CM                                                                                                                                 
550           59               ARMARIO AÇO 2 PORTAS 1,90M                                                                                                                                 
551           59               ARMARIO MDF 2 PORTAS 90 CM                                                                                                                                 
552           77               SWITCH EDGECORE                                                                                                                                            
553           59               RACK 9 US                                                                                                                                                  
554           27               MINI DELL OPTFLEX 3020 CORE I3                                                                                                                             
